Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Gen15,"Bounded Rationality, Abstraction, and Hierarchical Decision-Making: An Information-Theoretic Optimality Principle","Tim Genewein, Felix Leibfried, Jordi Grau-Moya, and Daniel A. Braun",2015,2015-11-01,Frontiers Robotics AI,2,27,"Abstraction and hierarchical information-processing are hallmarks of human and animal intelligence underlying the unrivaled flexibility of behavior in biological systems. Achieving such a flexibility in artificial systems is challenging, even with more and more computational power. Here we investigate the hypothesis that abstraction and hierarchical information-processing might in fact be the consequence of limitations in information-processing power. In particular, we study an information-theoretic framework of bounded rational decision-making that trades off utility maximization against information-processing costs. We apply the basic principle of this framework to perception-action systems with multiple information-processing nodes and derive bounded optimal solutions. We show how the formation of abstractions and decision-making hierarchies depends on information-processing costs. We illustrate the theoretical ideas with example simulations and conclude by formalizing a mathematically unifying optimization principle that could potentially be extended to more complex systems.",125,12,10.3389/frobt.2015.00027,https://doi.org/10.3389/frobt.2015.00027,3.0000
Fox16d,Information-Theoretic Methods for Planning and Learning in Partially Observable Markov Decision Processes,Roy Fox,2016,2016-09-22,ArXiv,abs/1609.07672,,"Bounded agents are limited by intrinsic constraints on their ability to process information that is available in their sensors and memory and choose actions and memory updates. In this dissertation, we model these constraints as information-rate constraints on communication channels connecting these various internal components of the agent. 
We make four major contributions detailed below and many smaller contributions detailed in each section. First, we formulate the problem of optimizing the agent under both extrinsic and intrinsic constraints and develop the main tools for solving it. Second, we identify another reason for the challenging convergence properties of the optimization algorithm, which is the bifurcation structure of the update operator near phase transitions. Third, we study the special case of linear-Gaussian dynamics and quadratic cost (LQG), where the optimal solution has a particularly simple and solvable form. Fourth, we explore the learning task, where the model of the world dynamics is unknown and sample-based updates are used instead.",0,,,https://www.semanticscholar.org/paper/05f10411588c52d21cb37083e8bd18f1b8d511a7,2.6500
Pen17,An information-theoretic on-line update principle for perception-action coupling,"Zhen Peng, Tim Genewein, Felix Leibfried, and Daniel A. Braun",2017,2017-09-01,2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),,789-796,"Inspired by findings of sensorimotor coupling in humans and animals, there has recently been a growing interest in the interaction between action and perception in robotic systems [1]. Here we consider perception and action as two serial information channels with limited information-processing capacity. We follow [2] and formulate a constrained optimization problem that maximizes utility under limited information-processing capacity in the two channels. As a solution we obtain an optimal perceptual channel and an optimal action channel that are coupled such that perceptual information is optimized with respect to downstream processing in the action module. The main novelty of this study is that we propose an online optimization procedure to find bounded-optimal perception and action channels in parameterized serial perception-action systems. In particular, we implement the perceptual channel as a multi-layer neural network and the action channel as a multinomial distribution. We illustrate our method in a NAO robot simulator with a simplified cup lifting task.",13,1.5,10.1109/IROS.2017.8202240,https://doi.org/10.1109/IROS.2017.8202240,2.1500
Tan15b,LQG Control With Minimum Directed Information: Semidefinite Programming Approach,"Takashi Tanaka, Peyman Mohajerin Esfahani, and S. Mitter",2015,2015-10-14,IEEE Transactions on Automatic Control,63,37-52,"We consider a discrete-time linear–quadratic–Gaussian (LQG) control problem, in which Massey's directed information from the observed output of the plant to the control input is minimized, while required control performance is attainable. This problem arises in several different contexts, including joint encoder and controller design for data-rate minimization in networked control systems. We show that the optimal control law is a linear–Gaussian randomized policy. We also identify the state-space realization of the optimal policy, which can be synthesized by an efficient algorithm based on semidefinite programming. Our structural result indicates that the filter–controller separation principle from the LQG control theory and the sensor–filter separation principle from the zero-delay rate-distortion theory for Gauss–Markov sources hold simultaneously in the considered problem. A connection to the data-rate theorem for mean-square stability by Nair and Evans is also established.",113,11,10.1109/TAC.2017.2709618,https://doi.org/10.1109/TAC.2017.2709618,2.0500
Ort15,Information-Theoretic Bounded Rationality,"Pedro A. Ortega, Daniel A. Braun, Justin Dyer, Kee-Eung Kim, and Naftali Tishby",2015,2015-12-21,ArXiv,abs/1512.06789,,"Bounded rationality, that is, decision-making and planning under resource limitations, is widely regarded as an important open problem in artificial intelligence, reinforcement learning, computational neuroscience and economics. This paper offers a consolidated presentation of a theory of bounded rationality based on information-theoretic ideas. We provide a conceptual justification for using the free energy functional as the objective function for characterizing bounded-rational decisions. This functional possesses three crucial properties: it controls the size of the solution space; it has Monte Carlo planners that are exact, yet bypass the need for exhaustive search; and it captures model uncertainty arising from lack of evidence or from interacting with other agents having unknown intentions. We discuss the single-step decision-making case, and show how to extend it to sequential decisions using equivalence transformations. This extension yields a very general class of decision problems that encompass classical decision rules (e.g. EXPECTIMAX and MINIMAX) as limit cases, as well as trust- and risk-sensitive planning.",57,5.5,,https://www.semanticscholar.org/paper/a5a6611134e82077184a2d3b7a336c75402cdaaf,1.9000
Ort12c,Thermodynamics as a theory of decision-making with information-processing costs,Pedro A. Ortega and Daniel A. Braun,2012,2012-04-29,"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",469,,"Perfectly rational decision-makers maximize expected utility, but crucially ignore the resource costs incurred when determining optimal actions. Here, we propose a thermodynamically inspired formalization of bounded rational decision-making where information processing is modelled as state changes in thermodynamic systems that can be quantified by differences in free energy. By optimizing a free energy, bounded rational decision-makers trade off expected utility gains and information-processing costs measured by the relative entropy. As a result, the bounded rational decision-making problem can be rephrased in terms of well-known variational principles from statistical physics. In the limit when computational costs are ignored, the maximum expected utility principle is recovered. We discuss links to existing decision-making frameworks and applications to human decision-making experiments that are at odds with expected utility theory. Since most of the mathematical machinery can be borrowed from statistical physics, the main contribution is to re-interpret the formalism of thermodynamic free-energy differences in terms of bounded rational decision-making and to discuss its relationship to human decision-making experiments.",301,21,10.1098/rspa.2012.0683,https://doi.org/10.1098/rspa.2012.0683,1.7000
Tan15,LQG Control with Minimal Information: Three-Stage Separation Principle and SDP-based Solution Synthesis,"Takashi Tanaka, Peyman Mohajerin Esfahani, and S. Mitter",2015,2015-10-14,ArXiv,abs/1510.04214,,"In the interest of evaluating an information-theoretic requirement for feedback control, this paper proposes a framework to synthesize a control policy that minimizes Massey’s directed information from the state sequence to the control sequence while attaining required Linear-Quadratic-Gaussian (LQG) control performance. Interpretation and significance of this framework is discussed in the context of networked control theory. As the main result, we show that an optimal control policy can be realized by an attractively simple three-stage decision architecture comprising (1) a linear sensor with additive Gaussian noise, (2) a Kalman filter, and (3) a certainty equivalence controller. This result suggests an integration of two separation principles previously known in the literature: the filter-controller separation principle in the LQG control theory, and the sensorfilter separation principle in zero-delay rate-distortion theory for Gauss-Markov sources. It is also shown that an optimal policy can be synthesized by semidefinite programming (SDP). Both time-varying finite-horizon problems and time-invariant infinitehorizon problems are considered. Our results can be viewed as a generalization of the data-rate theorem for mean-square stability by Nair & Evans, extended for a control performance analysis.",12,1.1,,https://www.semanticscholar.org/paper/daeb13fee5360fff8440d2a3bfc080611c1220dc,1.6000
Tan14,Semidefinite Programming Approach to Gaussian Sequential Rate-Distortion Trade-Offs,"Takashi Tanaka, Kwang-Ki K. Kim, P. Parrilo, and S. Mitter",2014,2014-11-27,IEEE Transactions on Automatic Control,62,1896-1910,"Sequential rate-distortion (SRD) theory provides a framework for studying the fundamental trade-off between data-rate and data-quality in real-time communication systems. In this paper, we consider the SRD problem for multi-dimensional time-varying Gauss-Markov processes under mean-square distortion criteria. We first revisit the sensor-estimator separation principle, which asserts that considered SRD problem is equivalent to a joint sensor and estimator design problem in which data-rate of the sensor output is minimized while the estimator's performance satisfies the distortion criteria. We then show that the optimal joint design can be performed by semidefinite programming. A semidefinite representation of the corresponding SRD function is obtained. Implications of the obtained result in the context of zero-delay source coding theory and applications to networked control theory are also discussed.",120,10,10.1109/TAC.2016.2601148,https://doi.org/10.1109/TAC.2016.2601148,1.5500
Fox16,Minimum-information LQG control Part II: Retentive controllers,Roy Fox and Naftali Tishby,2016,2016-06-06,2016 IEEE 55th Conference on Decision and Control (CDC),,5603-5609,"Retentive (memory-utilizing) sensing-acting agents may operate under limitations on the communication between their sensing, memory and acting components, requiring them to trade off the external cost that they incur with the capacity of their communication channels. In this paper we formulate this problem as a sequential rate-distortion problem of minimizing the rate of information required for the controller's operation under a constraint on its external cost. We reduce this bounded retentive control problem to the memoryless one, studied in Part I of this work [1], by viewing the memory reader as one more sensor and the memory writer as one more actuator. We further investigate the structure of the resulting optimal solution and demonstrate its interesting phenomenology.",13,1.3,10.1109/CDC.2016.7799130,https://doi.org/10.1109/CDC.2016.7799130,1.4500
Fox16c,Minimum-information LQG control part I: Memoryless controllers,Roy Fox and Naftali Tishby,2016,2016-06-06,2016 IEEE 55th Conference on Decision and Control (CDC),,5610-5616,"With the increased demand for power efficiency in feedback-control systems, communication is becoming a limiting factor, raising the need to trade off the external cost that they incur with the capacity of the controller's communication channels. With a proper design of the channels, this translates into a sequential rate-distortion problem, where we minimize the rate of information required for the controller's operation under a constraint on its external cost. Memoryless controllers are of particular interest both for the simplicity and frugality of their implementation and as a basis for studying more complex controllers. In this paper we present the optimality principle for memoryless linear controllers that utilize minimal information rates to achieve a guaranteed external-cost level. We also study the interesting and useful phenomenology of the optimal controller, such as the principled reduction of its order.",18,1.8,10.1109/CDC.2016.7799131,https://doi.org/10.1109/CDC.2016.7799131,1.4000
