Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Meh70,On the identification of variances and adaptive Kalman filtering,R. Mehra,1970,1970-04-01,IEEE Transactions on Automatic Control,15,175-184,"A Kalman filter requires an exact knowledge of the process noise covariance matrix Q and the measurement noise covariance matrix R . Here we consider the case in which the true values of Q and R are unknown. The system is assumed to be constant, and the random inputs are stationary. First, a correlation test is given which checks whether a particular Kalman filter is working optimally or not. If the filter is suboptimal, a technique is given to obtain asymptotically normal, unbiased, and consistent estimates of Q and R . This technique works only for the case in which the form of Q is known and the number of unknown elements in Q is less than n \times r where n is the dimension of the state vector and r is the dimension of the measurement vector. For other cases, the optimal steady-state gain K op is obtained directly by an iterative procedure without identifying Q . As a corollary, it is shown that the steady-state optimal Kalman filter gain K op depends only on n \times r linear functionals of Q . The results are first derived for discrete systems. They are then extended to continuous systems. A numerical example is given to show the usefulness of the approach.",1346,24,10.1109/TAC.1970.1099422,https://doi.org/10.1109/TAC.1970.1099422,2.6000
Oll17,Online natural gradient as a Kalman filter,Y. Ollivier,2017,2017-03-01,Electronic Journal of Statistics,12,2930-2961,"We establish a full relationship between Kalman filtering and Amari's natural gradient in statistical learning. Namely, using an online natural gradient descent on data log-likelihood to evaluate the parameter of a probabilistic model from a series of observations, is exactly equivalent to using an extended Kalman filter to estimate the parameter (assumed to have constant dynamics). In the i.i.d. case, this relation is a consequence of the ""information filter"" phrasing of the extended Kalman filter. In the recurrent (state space, non-i.i.d.) case, we prove that the joint Kalman filter over states and parameters is a natural gradient on top of real-time recurrent learning (RTRL), a classical algorithm to train recurrent models. This exact algebraic correspondence provides relevant settings for natural gradient hyperparameters such as learning rates or initialization and regularization of the Fisher information matrix.",73,7.9,10.1214/18-EJS1468,https://doi.org/10.1214/18-EJS1468,2.3500
Mat14,Uncertainty in perception and the Hierarchical Gaussian Filter,C. Mathys et al.,2014,2014-11-19,Frontiers in Human Neuroscience,8,,"In its full sense, perception rests on an agent's model of how its sensory input comes about and the inferences it draws based on this model. These inferences are necessarily uncertain. Here, we illustrate how the Hierarchical Gaussian Filter (HGF) offers a principled and generic way to deal with the several forms that uncertainty in perception takes. The HGF is a recent derivation of one-step update equations from Bayesian principles that rests on a hierarchical generative model of the environment and its (in)stability. It is computationally highly efficient, allows for online estimates of hidden states, and has found numerous applications to experimental data from human subjects. In this paper, we generalize previous descriptions of the HGF and its account of perceptual uncertainty. First, we explicitly formulate the extension of the HGF's hierarchy to any number of levels; second, we discuss how various forms of uncertainty are accommodated by the minimization of variational free energy as encoded in the update equations; third, we combine the HGF with decision models and demonstrate the inversion of this combination; finally, we report a simulation study that compared four optimization methods for inverting the HGF/decision model combination at different noise levels. These four methods (Nelder–Mead simplex algorithm, Gaussian process-based global optimization, variational Bayes and Markov chain Monte Carlo sampling) all performed well even under considerable noise, with variational Bayes offering the best combination of efficiency and informativeness of inference. Our results demonstrate that the HGF provides a principled, flexible, and efficient—but at the same time intuitive—framework for the resolution of perceptual uncertainty in behaving agents.",401,35,10.3389/fnhum.2014.00825,https://doi.org/10.3389/fnhum.2014.00825,2.1500
Fel10,"Attention, Uncertainty, and Free-Energy",H. Feldman and Karl J. Friston,2010,2010-09-24,Frontiers in Human Neuroscience,4,,"We suggested recently that attention can be understood as inferring the level of uncertainty or precision during hierarchical perception. In this paper, we try to substantiate this claim using neuronal simulations of directed spatial attention and biased competition. These simulations assume that neuronal activity encodes a probabilistic representation of the world that optimizes free-energy in a Bayesian fashion. Because free-energy bounds surprise or the (negative) log-evidence for internal models of the world, this optimization can be regarded as evidence accumulation or (generalized) predictive coding. Crucially, both predictions about the state of the world generating sensory data and the precision of those data have to be optimized. Here, we show that if the precision depends on the states, one can explain many aspects of attention. We illustrate this in the context of the Posner paradigm, using the simulations to generate both psychophysical and electrophysiological responses. These simulated responses are consistent with attentional bias or gating, competition for attentional resources, attentional capture and associated speed-accuracy trade-offs. Furthermore, if we present both attended and non-attended stimuli simultaneously, biased competition for neuronal representation emerges as a principled and straightforward property of Bayes-optimal perception.",1280,82,10.3389/fnhum.2010.00215,https://doi.org/10.3389/fnhum.2010.00215,1.9500
Oll19,The Extended Kalman Filter is a Natural Gradient Descent in Trajectory Space,Y. Ollivier,2019,2019-01-03,arXiv: Optimization and Control,,,"The extended Kalman filter is perhaps the most standard tool to estimate in real time the state of a dynamical system from noisy measurements of some function of the system, with extensive practical applications (such as position tracking via GPS). While the plain Kalman filter for linear systems is well-understood, the extended Kalman filter relies on linearizations which have been debated. 
We recover the exact extended Kalman filter equations from first principles in statistical learning: the extended Kalman filter is equal to Amari's online natural gradient, applied in the space of trajectories of the system. Namely, each possible trajectory of the dynamical system defines a probability law over possible observations. In principle this makes it possible to treat the underlying trajectory as the parameter of a statistical model of the observations. Then the parameter can be learned by gradient ascent on the log-likelihood of observations, as they become available. Using Amari's natural gradient from information geometry (a gradient descent preconditioned with the Fisher matrix, which provides parameterization-invariance) exactly recovers the extended Kalman filter. 
This applies only to a particular choice of process noise in the Kalman filter, namely, taking noise proportional to the posterior covariance - a canonical choice in the absence of specific model information.",26,3.5,,https://www.semanticscholar.org/paper/a5f7b5e3fce21d5b9d57df62d0f3e8093e48672e,1.7500
Ama98,Natural Gradient Works Efficiently in Learning,S. Amari,1998,1998-02-15,Neural Computation,10,251-276,,3555,126,10.1162/089976698300017746,https://doi.org/10.1162/089976698300017746,1.6500
Kai68,An innovations approach to least-squares estimation--Part II: Linear smoothing in additive white noise,T. Kailath and P. Frost,1968,1968-12-01,IEEE Transactions on Automatic Control,13,646-655,"The innovations approach to linear least-squares approximation problems is first to ""whiten"" the observed data by a causal and invertible operation, and then to treat the resulting simpler white-noise observations problem. This technique was successfully used by Bode and Shannon to obtain a simple derivation of the classical Wiener filtering problem for stationary processes over a semi-infinite interval. Here we shall extend the technique to handle nonstationary continuous-time processes over finite intervals. In Part I we shall apply this method to obtain a simple derivation of the Kalman-Bucy recursive filtering formulas (for both continuous-time and discrete-time processes) and also some minor generalizations thereof.",709,12,10.1109/TAC.1968.1099025,https://doi.org/10.1109/TAC.1968.1099025,1.5500
Fri10b,Generalised Filtering,"Karl J. Friston, K. Stephan, Baojuan Li, and J. Daunizeau",2010,,,,,"We describe a Bayesian filtering scheme for nonlinear state-space models in continuous time. This scheme is called Generalised Filtering and furnishes posterior conditional densities on hidden states and unknown parameters generating observed data. Crucially, the scheme operates online, assimilating data to optimize the conditional density on time-varying states and time-invariant parameters. In contrast to Kalman and Particle smoothing, Generalised Filtering does not require a backwards pass. In contrast to variational schemes, it does not assume conditional independence between the states and parameters. Generalised Filtering optimises the conditional density with respect to a free-energy bound on the model’s log-evidence. This optimisation uses the generalised motion of hidden states and parameters, under the prior assumption that the motion of the parameters is small. We describe the scheme, present comparative evaluations with a fixed-form variational version, and conclude with an illustrative application to a nonlinear state-space model of brain imaging time-series.",161,9.9,10.1155/2010/621670,https://doi.org/10.1155/2010/621670,1.4500
Fah91,"On kalman filtering, posterior mode estimation and fisher scoring in dynamic exponential family regression",L. Fahrmeir and H. Kaufmann,1991,1991-12-01,Metrika,38,37-60,,96,2.8,10.1007/BF02613597,https://doi.org/10.1007/BF02613597,1.4400
Car73,Identification of optimum filter steady-state gain for systems with unknown noise covariances,B. Carew and P. Belanger,1973,1973-12-01,IEEE Transactions on Automatic Control,18,582-587,A discrete linear stationary system is considered for which the input noise covariance Q and the output noise covariance R are unknown. A stable filter with a suboptimal gain is assumed. An identification scheme is presented which uses the autocorrelation functions of the innovations sequence of the suboptimal filter to determine the optimum filter steady state gain \Gamma directly without the intermediate determination of the unknown covariances Q and R . The approach used is to identify an output equivalent representation of the original system which does not involve the unknown covariances directly.,156,3.0,10.1109/TAC.1973.1100420,https://doi.org/10.1109/TAC.1973.1100420,1.4200
