Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Kuh97,Comparison of tracking algorithms for single layer threshold networks in the presence of random drift,A. Kuh,1997,1997-03-01,IEEE Trans. Signal Process.,45,640-649,"This paper analyzes the behavior of a variety of tracking algorithms for single-layer threshold networks in the presence of random drift. We use a system identification model to model a target network where weights slowly change and a tracking network. Tracking algorithms are divided into conservative and nonconservative algorithms. For a random drift rate of /spl gamma/, we find upper bounds for the generalization error of conservative algorithms that are /spl Oscr/(/spl gamma//sup 2/3/) and for nonconservative algorithms that are /spl Oscr/(/spl gamma/). Bounds are found for the perceptron tracker and the least mean square (LMS) tracker. Simulations show the validity of these bounds and show that the bounds are tight when /spl gamma/ is small and the number of inputs n is large. These results show that the perceptron tracker and the LMS tracker can work well in slowly changing nonstationary environments.",10,0.3,10.1109/78.558480,https://doi.org/10.1109/78.558480,2.4000
Kho16,The Value of Timing Information in Event-Triggered Control,"M. J. Khojasteh, Pavankumar Tallapragada, J. Cortés, and M. Franceschetti",2016,2016-09-30,IEEE Transactions on Automatic Control,65,925-940,"We study event-triggered control for stabilization of unstable linear plants over rate-limited communication channels subject to unknown bounded delay. On one hand, the timing of event triggering carries implicit information about the state of the plant. On the other hand, the delay in the communication channel causes information loss, as it makes the state information available at the controller out of date. Combining these two effects, we show a phase transition behavior in the transmission rate required for stabilization using a given event-triggering strategy. For small values of the delay, the timing information carried by the triggering events is substantial, and the system can be stabilized with any positive rate. When the delay exceeds a critical threshold, the timing information alone is not enough to achieve stabilization, and the required rate grows. When the delay equals the inverse of the entropy rate of the plant, the implicit information carried by the triggering events perfectly compensates the loss of information due to the communication delay, and we recover the rate requirement prescribed by the data-rate theorem. We also provide an explicit construction yielding a sufficient rate for stabilization, as well as results for vector systems. Our results do not rely on any a priori probabilistic model for the delay or the initial conditions.",42,4.4,10.1109/TAC.2019.2919107,https://doi.org/10.1109/TAC.2019.2919107,2.1000
Sah06,The Necessity and Sufficiency of Anytime Capacity for Stabilization of a Linear System Over a Noisy Communication Link—Part I: Scalar Systems,Anant Sahai and S. Mitter,2006,2006-01-04,IEEE Transactions on Information Theory,52,3369-3395,"In this paper, we review how Shannon's classical notion of capacity is not enough to characterize a noisy communication channel if the channel is intended to be used as part of a feedback loop to stabilize an unstable scalar linear system. While classical capacity is not enough, another sense of capacity (parametrized by reliability) called ""anytime capacity"" is necessary for the stabilization of an unstable process. The required rate is given by the log of the unstable system gain and the required reliability comes from the sense of stability desired. A consequence of this necessity result is a sequential generalization of the Schalkwijk-Kailath scheme for communication over the additive white Gaussian noise (AWGN) channel with feedback. In cases of sufficiently rich information patterns between the encoder and decoder, adequate anytime capacity is also shown to be sufficient for there to exist a stabilizing controller. These sufficiency results are then generalized to cases with noisy observations, delayed control actions, and without any explicit feedback between the observer and the controller. Both necessary and sufficient conditions are extended to continuous time systems as well. We close with comments discussing a hierarchy of difficulty for communication problems and how these results establish where stabilization problems sit in that hierarchy",432,21,10.1109/TIT.2006.878169,https://doi.org/10.1109/TIT.2006.878169,1.9000
Tat04b,Control under communication constraints,S. Tatikonda and S. Mitter,2004,2004-07-12,IEEE Transactions on Automatic Control,49,1056-1068,,1745,80,10.1109/TAC.2004.831187,https://doi.org/10.1109/TAC.2004.831187,1.8000
Shi99b,Solution of a delayed Information Linear Pursuit-Evasion Game with Bounded Controls,J. Shinar and V. Glizer,1999,1999-09-01,IGTR,1,197-217,"A class of linear pursuit-evasion games with first-order acceleration dynamics and bounded controls is considered, where the evader has perfect information and the pursuer has delayed information on the lateral acceleration of the evader. The other state variables are perfectly known to the pursuer. This game can be transformed to a perfect information delayed control game with a single state variable, the centre of the uncertainty domain created by the information delay. The delayed dynamics of the game is transformed to a linear first-order partial differential equation coupled with an integral-differential equation, both without delay. These equations are approximated by a set of K + 1 ordinary differential equations of first order, creating an auxiliary game. The necessary conditions of optimality derived for the auxiliary game lead to the solution of the delayed control game by a limit process as K → + ∞. The solution has the same structure as the other, already solved, perfect information linear pursuit-evasion games with bounded controls and indicates that the value of the delayed information pursuit-evasion game is never zero. Asymptotic expressions of the value of the game for small and large values of the information delay are derived.",38,1.4,10.1142/S0219198999000153,https://doi.org/10.1142/S0219198999000153,1.7000
Gli01,Optimal Evasion from a Pursuer with Delayed Information,V. Glizer and J. Shinar,2001,2001-10-01,Journal of Optimization Theory and Applications,111,7-38,,26,1.1,10.1023/A:1017515129544,https://doi.org/10.1023/A:1017515129544,1.4500
Kal12,On the ‘Boyd-Kuramoto Model’: Emergence in a Mathematical Model for Adversary C2 Systems,A. Kalloniatis,2012,,,,,"At the 13 ICCRTS I proposed that a well-known mathematical m odel for synchronisation on networks – the Kuramoto Model – serves as a useful paradigm for Command and Control (C2). This model places nonlinearly coupled phase oscilla tors at a network’s nodes. Increasing the coupling constant sees the oscillators manifest glo bal phase synchrony. Mapping the phase to Boyd’s Observe-Orient-Decide-Act loop (or any itera ive decision making process) established the relationship to C2. I generalised this to two a dversaries, where ‘fighting nodes’ in a Blue network seek to ‘Act’ before adversaries in a Red n twork, consistent with Boyd’s model. Here, I numerically solve this ‘Boyd-Kuramoto’ model, subje cting a Blue hierarchy against a Red random network with oscillator frequencies drawn fr om a uniform random distribution. I represent the Intelligence-Surveillance-Reconnaissa nce capability of the Blue force such that a Blue node is aware of the state of a Red node’s pha e across the decision-cycle while Red only has knowledge of Blue node’s state when it ‘Acts’. The model is sufficiently rich to capture surprising, but in retrospect understandable, behav iour – it displays ‘emergence’– while remaining solvable with minimal computational effor t. The model allows for exploration of the degrees of freedom of a ‘rigid’ Blue force against an ‘agile’ Red adversary.",3,0.2,,https://www.semanticscholar.org/paper/67f45123bca98c17e67cc0607a5886e41c2f2a91,1.3500
Bre05,"The Dynamic OODA Loop : Amalgamating Boyd ’ s OODA Loop and the Cybernetic Approach to Command and Control ASSESSMENT , TOOLS AND METRICS",B. Brehmer,2005,,,,,"This paper presents the Dynamic OODA loop, or DOODA loop for short, a generic model of Command and Control (C2) stemming from Boyd’s OODA loop and cybernetic models of C2. The DOODA loop is formulated in terms of functions that must be accomplished for effective C2, and these functions are then studied in terms of (partially overlapping) processes. The DOODA loop preserves the prescriptive richness of the cybernetic approach in that it represents all the sources of delay in the C2 process envisioned by that approach, and thus escapes the limited focus on speed of decision making characteristic of discussions of C2 based on the OODA loop. The DOODA loop organises research on C2 and provides direction for studies aimed at finding ways of improving C2 effectiveness in that it specifies the functions that need to be accomplished for effective C2.",133,6.2,,https://www.semanticscholar.org/paper/7e9d23a6911d636666338358505613bb5eba43b8,1.2500
Zup20,Adversarial decision strategies in multiple network phased oscillators: The Blue-Green-Red Kuramoto-Sakaguchi model,"M. Zuparic, M. Angelova, Ye Zhu, and A. Kalloniatis",2020,2020-11-19,Commun. Nonlinear Sci. Numer. Simul.,95,105642,"We consider a model of three interacting sets of decision-making agents, labeled Blue, Green and Red, represented as coupled phased oscillators subject to frustrated synchronisation dynamics. The agents are coupled on three networks of differing topologies, with interactions modulated by different cross-population frustrations, internal and cross-network couplings. The intent of the dynamic model is to examine the degree to which two of the groups of decision-makers, Blue and Red, are able to realise a strategy of being ahead of each others' decision-making cycle while internally seeking synchronisation of this process -- all in the context of further interactions with the third population, Green. To enable this analysis, we perform a significant dimensional reduction approximation and stability analysis. We compare this to a numerical solution for a range of internal and cross-network coupling parameters to investigate various synchronisation regimes and critical thresholds. The comparison reveals good agreement for appropriate parameter ranges. Performing parameter sweeps, we reveal that Blue's pursuit of a strategy of staying too-far ahead of Red's decision cycles triggers a second-order effect of the Green population being ahead of Blue's cycles. This behaviour has implications for the dynamics of multiple interacting social groups with both cooperative and competitive processes.",9,1.6,10.1016/j.cnsns.2020.105642,https://doi.org/10.1016/j.cnsns.2020.105642,1.2500
Mor72,Pursuit Games of Stationary Linear Systems with Time-Delay,K. Mori and E. Shimemura,1972,1972-12-30,Journal of the Society of Instrument and Control Engineers,8,667-675,"A pursuit game of a stationary linear system with time-delay is considered here. The state of this system is infinite dimensional but the target set is finite dimensional. The mathematical model of the system is formulated here as a coupling of a lumped parameter subsystem and a distributed parameter subsystem, and the target set is defined as a subset in the state space of the lumped parameter subsystem. In this pursuit game three different types of information patterns are defined. They are, respectively, (i) the open loop information pattern for the pursuer, (ii) the closed loop information pattern for the pursuer and (iii) the open loop information pattern for the evader. In (i) and (ii), one of the sufficient conditions for completion of the game and the pursuer's closed loop control are obtained. This pursuer's closed loop control u is constructed by the state x (t) of the lumped parameter subsystem, his opponent's control v (t) and the histories of x, u and v. It is shown that, in (iii), the evader can choose his feedback control for the game not to be completed in some finite time.",0,,10.9746/SICETR1965.8.667,https://doi.org/10.9746/SICETR1965.8.667,1.2500
