Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Mil22c,Ex Machina: Coevolving Machines and the Origins of the Social Universe,John H. Miller,2022,2022-12-06,,,,"If we could rewind the tape of the Earth’s deep history back to the beginning and start the world anew—would social behavior arise yet again? While the study of origins is foundational to many scientific fields, such as physics and biology, it has rarely been pursued in the social sciences. Yet knowledge of something’s origins often gives us new insights into the present. In Ex Machina, John H. Miller introduces a methodology for exploring systems of adaptive, interacting, choice-making agents, and uses this approach to identify conditions sufficient for the emergence of social behavior. Miller combines ideas from biology, computation, game theory, and the social sciences to evolve a set of interacting automata from asocial to social behavior. Readers will learn how systems of simple adaptive agents—seemingly locked into an asocial morass—can be rapidly transformed into a bountiful social world driven only by a series of small evolutionary changes. Such unexpected revolutions by evolution may provide an important clue to the emergence of social life.",2,0.6,10.37911/9781947864429,https://doi.org/10.37911/9781947864429,3.2000
Mil96b,The coevolution of automata in the repeated Prisoner's Dilemma,John H. Miller,1996,,Journal of Economic Behavior and Organization,29,87-112,,357,12,10.1016/0167-2681(95)00052-6,https://doi.org/10.1016/0167-2681(95)00052-6,2.9000
Rub86,Finite automata play the repeated prisoner's dilemma,A. Rubinstein,1986,1986-06-01,Journal of Economic Theory,39,83-96,,677,17,10.1016/0022-0531(86)90021-9,https://doi.org/10.1016/0022-0531(86)90021-9,2.7000
Haf26b,A Mathematical Theory of Agency and Intelligence,"Wael Hafez, Chen Wei, Rodrigo Felipe, Amirhossein Nazeri, and Cameron Reid",2026,2026-02-26,ArXiv,abs/2602.22519,,"To operate reliably under changing conditions, complex systems require feedback on how effectively they use resources, not just whether objectives are met. Current AI systems process vast information to produce sophisticated predictions, yet predictions can appear successful while the underlying interaction with the environment degrades. What is missing is a principled measure of how much of the total information a system deploys is actually shared between its observations, actions, and outcomes. We prove this shared fraction, which we term bipredictability, P, is intrinsic to any interaction, derivable from first principles, and strictly bounded: P can reach unity in quantum systems, P equal to, or smaller than 0.5 in classical systems, and lower once agency (action selection) is introduced. We confirm these bounds in a physical system (double pendulum), reinforcement learning agents, and multi turn LLM conversations. These results distinguish agency from intelligence: agency is the capacity to act on predictions, whereas intelligence additionally requires learning from interaction, self-monitoring of its learning effectiveness, and adapting the scope of observations, actions, and outcomes to restore effective learning. By this definition, current AI systems achieve agency but not intelligence. Inspired by thalamocortical regulation in biological systems, we demonstrate a feedback architecture that monitors P in real time, establishing a prerequisite for adaptive, resilient AI.",2,4.0,10.48550/arXiv.2602.22519,https://doi.org/10.48550/arXiv.2602.22519,2.4500
Ho96b,Finite automata play repeated prisoner's dilemma with information processing costs,Teck-Hua Ho,1996,,Journal of Economic Dynamics and Control,20,173-207,,48,1.6,10.1016/0165-1889(94)00848-1,https://doi.org/10.1016/0165-1889(94)00848-1,2.3000
Haf26,The Informational Cost of Agency: A Bounded Measure of Interaction Efficiency for Deployed Reinforcement Learning,"Wael Hafez, Cameron Reid, and Amit Nazeri",2026,2026-03-01,,,,"Deployed RL agents operate in closed-loop systems where reliable performance depends on maintaining coherent coupling between observations, actions, and outcomes. Current monitoring approaches rely on reward and task metrics, measures that are reactive by design and blind to structural degradation that precedes performance collapse. We argue that deployment monitoring is fundamentally a question about uncertainty resolution: whether the agent's observations and actions continue to reduce uncertainty about outcomes, and whether outcomes constrain what the agent must have done. Information theory directly operationalizes this question, entropy quantifies uncertainty, and mutual information quantifies its resolution across the loop. We introduce Bipredictability (P), the fraction of the total uncertainty budget converted into shared predictability across the observation, action, outcome loop. A theoretical property is a provable classical upper bound P is less than or equal to 0.5, independent of domain, task, or agent, a structural consequence of Shannon entropy rather than an empirical observation. When agency is present, a penalty suppresses P strictly below this ceiling, confirmed at P equals 0.33 across trained agents. To operationalize P as a real time monitoring signal, we introduce the Information Digital Twin (IDT), an auxiliary architecture that computes P and its directional components from the observable interaction stream without access to model internals. Across 168 perturbation trials spanning eight perturbation types and two policy architectures, IDT based monitoring detected 89.3 percent of coupling degradations versus 44.0 percent for reward based monitoring, with 4.4 times lower median latency. These results establish Bipredictability as a principled, bounded, and computable prerequisite signal for closed loop self regulation in deployed reinforcement learning systems.",0,,,https://www.semanticscholar.org/paper/3ed6ca58dc6af956b5644083aee7406b0b94bb10,2.2000
Abr86,"The Structure of Nash Equilibrium in Repeated Games with Finite Automata (Now published in Econometrica, 56 (1988), pp.1259-1282.)",Dilip Abreu and A. Rubinstein,1986,,,,,"The authors study the Nash equilibria of a two-person, infinitely-repeated game in which players' preferences depend on repeated game payoffs and the complexity of the strategies they use. The model considered is that of A. Rubinstein (1986). Necessary conditions on the structure of the equilibria are derived. These results place significant restrictions on equilibrium payoffs. The results suggest that the introduction of implementation costs results in a striking discontinuity in the Nash equilibrium sets in terms of strategies and payoffs. Copyright 1988 by The Econometric Society.",430,11,10.2307/1913097,https://doi.org/10.2307/1913097,2.1500
Lin92b,Evolutionary Stability in the Infinitely Repeated Prisoners' Dilemma Played by Two-State Moore Machines,Bruce G. Linster,1992,1992-04-01,Southern Economic Journal,58,880,"A large literature which attempts to explain how cooperative outcomes can be supported in the repeated Prisoners' Dilemma (RPD) has emerged in recent years. An interesting branch of this literature has analyzed the infinite RPD as a game in which two ""metaplayers"" choose a strategy which is implemented by a finite automaton, or Moore machine. This line of research has been especially interesting because it allows us to capture the notion of ""bounded"" rationality in the players. Also, the use of these machines as devices to implement strategies permits us to quantify the notion of strategic complexity. We can then apply the idea that complexity is costly to the analysis, and the results have proven very interesting. So far, the work in this area has applied the concepts of Nash equilibrium and evolutionary stability in determining what reasonable outcomes are in these games. However, it has frequently been that pointed out these equilibrium concepts may be either too restrictive or not restrictive enough to be useful in analyzing the infinitely repeated Prisoners' Dilemma. That is, if we use the Nash equilibrium as the appropriate equilibrium concept, the set of equilibrium outcomes is infinitely large. On the other hand, if we require the equilibrium to be evolutionarily stable, the set of such equilibrium outcomes is frequently empty. It has been suggested that the requirement for evolutionary stability may be too stringent a criterion. The purpose of this essay is to examine what happens in these games in an evolutionary framework under various conditions. The results of the simulations I performed and report here indicate certain combinations of strategies may exist which, although not evolutionarily stable in the sense of Maynard Smith [14], prove to be invasion-proof against permissible mutant strategies. This is akin to saying a set of possible strategies may exist which cannot be invaded, but neither the individual strategies nor the mixed strategy represented by the population is evolutionarily stable. We can imagine the mix of strategies changing as various mutants attempt to invade the population but the set of strategies remaining the same as the one with which we started. In fact, it may well be the case that this set of strategies will not last forever, but it may last for a very long time. I formalize this idea later in the essay. In order to test the robustness of",56,1.6,10.2307/1060227,https://doi.org/10.2307/1060227,1.9500
Rom11,Finite Automata in Undiscounted Repeated Games with Private Monitoring,Julian Romero,2011,2011-03-01,,,,"I study two-player undiscounted repeated games with imperfect private monitoring. When strategies are restricted to those implementable by nite automata, fewer equilibrium outcomes are possible. When only two-state automata are allowed, a simple strategy, ""Win-Stay, Lose-Shift,"" leads to cooperation. WSLS has the nice property that it is able to endogenously recoordinate back to cooperation after an incorrect signal. I show that WSLS is essentially the only equilibrium that leads to cooperation in the in nitely repeated Prisoner's Dilemma game. In addition, it is also an equilibrium for a wide range of 2 x 2 games. I also give necessary and su cient conditions on the structure of equilibrium strategies when players can use strategies implementable by fnite automata.",9,0.6,,https://www.semanticscholar.org/paper/4020ad69ebb732bfd970db384249a0ed6a0b6de9,1.7500
Alb21,Quantifying the Autonomy of Structurally Diverse Automata: A Comparison of Candidate Measures,L. Albantakis,2021,2021-10-28,Entropy,23,,"Should the internal structure of a system matter when it comes to autonomy? While there is still no consensus on a rigorous, quantifiable definition of autonomy, multiple candidate measures and related quantities have been proposed across various disciplines, including graph-theory, information-theory, and complex system science. Here, I review and compare a range of measures related to autonomy and intelligent behavior. To that end, I analyzed the structural, information-theoretical, causal, and dynamical properties of simple artificial agents evolved to solve a spatial navigation task, with or without a need for associative memory. By contrast to standard artificial neural networks with fixed architectures and node functions, here, independent evolution simulations produced successful agents with diverse neural architectures and functions. This makes it possible to distinguish quantities that characterize task demands and input-output behavior, from those that capture intrinsic differences between substrates, which may help to determine more stringent requisites for autonomous behavior and the means to measure it.",5,1.1,10.3390/e23111415,https://doi.org/10.3390/e23111415,1.7000
