Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Tis00,The information bottleneck method,"Naftali Tishby, Fernando C Pereira, and W. Bialek",2000,2000-04-24,ArXiv,physics/0004057,,"We define the relevant information in a signal $x\in X$ as being the information that this signal provides about another signal $y\in \Y$. Examples include the information that face images provide about the names of the people portrayed, or the information that speech sounds provide about the words spoken. Understanding the signal $x$ requires more than just predicting $y$, it also requires specifying which features of $\X$ play a role in the prediction. We formalize this problem as that of finding a short code for $\X$ that preserves the maximum information about $\Y$. That is, we squeeze the information that $\X$ provides about $\Y$ through a `bottleneck' formed by a limited set of codewords $\tX$. This constrained optimization problem can be seen as a generalization of rate distortion theory in which the distortion measure $d(x,\x)$ emerges from the joint statistics of $\X$ and $\Y$. This approach yields an exact set of self consistent equations for the coding rules $X \to \tX$ and $\tX \to \Y$. Solutions to these equations can be found by a convergent re-estimation method that generalizes the Blahut-Arimoto algorithm. Our variational principle provides a surprisingly rich framework for discussing a variety of problems in signal processing and learning, as will be described in detail elsewhere.",4311,165,,https://www.semanticscholar.org/paper/4ef483f819e11873822416042a4b6dc4652e010c,4.9500
Sha99,"Computational Mechanics: Pattern and Prediction, Structure and Simplicity",C. Shalizi and J. Crutchfield,1999,1999-07-01,Journal of Statistical Physics,104,817-879,"Computational mechanics, an approach to structural complexity, defines a process's causal states and gives a procedure for finding them. We show that the causal-state representation—an ∈-machine—is the minimal one consistent with accurate prediction. We establish several results on ∈-machine optimality and uniqueness and on how ∈-machines compare to alternative representations. Further results relate measures of randomness and structural complexity obtained from ∈-machines to those from ergodic and information theories.",523,19,10.1023/A:1010388907793,https://doi.org/10.1023/A:1010388907793,4.4000
Cre09,Past-future information bottleneck in dynamical systems.,"F. Creutzig, A. Globerson, and Naftali Tishby",2009,2009-04-27,"Physical review. E, Statistical, nonlinear, and soft matter physics",79 4 Pt 1,"'
          041925
        ","Biological systems need to process information in real time and must trade off accuracy of presentation and coding costs. Here we operationalize this trade-off and develop an information-theoretic framework that selectively extracts information of the input past that is predictive about the output future, obtaining a generalized eigenvalue problem. Thereby, we unravel the input history in terms of structural phase transitions corresponding to additional dimensions of a state space. We elucidate the relation to canonical correlation analysis and give a numerical example. Altogether, this work relates information-theoretic optimization to the joint problem of system identification and model reduction.",88,5.2,10.1103/PHYSREVE.79.041925,https://doi.org/10.1103/PHYSREVE.79.041925,3.5500
Mar14b,Circumventing the Curse of Dimensionality in Prediction: Causal Rate-Distortion for Infinite-Order Markov Processes,Sarah E. Marzen and J. Crutchfield,2014,2014-12-08,ArXiv,abs/1412.2859,,"Author(s): Marzen, Sarah; Crutchfield, James P | Abstract: Predictive rate-distortion analysis suffers from the curse of dimensionality: clustering arbitrarily long pasts to retain information about arbitrarily long futures requires resources that typically grow exponentially with length. The challenge is compounded for infinite-order Markov processes, since conditioning on finite sequences cannot capture all of their past dependencies. Spectral arguments show that algorithms which cluster finite-length sequences fail dramatically when the underlying process has long-range temporal correlations and can fail even for processes generated by finite-memory hidden Markov models. We circumvent the curse of dimensionality in rate-distortion analysis of infinite-order processes by casting predictive rate-distortion objective functions in terms of the forward- and reverse-time causal states of computational mechanics. Examples demonstrate that the resulting causal rate-distortion theory substantially improves current predictive rate-distortion analyses.",10,0.9,,https://www.semanticscholar.org/paper/5308a461868cde8b8d175eee0de4eea699028d14,3.3500
Mar16,Predictive Rate-Distortion for Infinite-Order Markov Processes,Sarah E. Marzen and J. Crutchfield,2016,2016-05-03,Journal of Statistical Physics,163,1312 - 1338,,35,3.5,10.1007/s10955-016-1520-1,https://doi.org/10.1007/s10955-016-1520-1,3.0500
Sha00,"Information Bottlenecks, Causal States, and Statistical Relevance Bases: How to Represent Relevant Information in memoryless transduction",C. Shalizi and J. Crutchfield,2000,2000-06-16,Adv. Complex Syst.,5,91-96,"Discovering relevant, but possibly hidden, variables is a key step in constructing useful and predictive theories about the natural world. This brief note explains the connections between three approaches to this problem: the recently introduced information-bottleneck method, the computational mechanics approach to inferring optimal models, and Salmon's statistical relevance basis.",36,1.4,10.1142/S0219525902000481,https://doi.org/10.1142/S0219525902000481,2.9500
Sti14,Information Bottleneck Approach to Predictive Inference,Susanne Still,2014,2014-02-17,Entropy,16,968-989,"This paper synthesizes a recent line of work on automated predictive model making inspired by Rate-Distortion theory, in particular by the Information Bottleneck method. Predictive inference is interpreted as a strategy for efficient communication. The relationship to thermodynamic efficiency is discussed. The overall aim of this paper is to explain how this information theoretic approach provides an intuitive, overarching framework for predictive inference.",62,5.1,10.3390/e16020968,https://doi.org/10.3390/e16020968,2.8500
Bia00,"Predictability, Complexity, and Learning","W. Bialek, I. Nemenman, and Naftali Tishby",2000,2000-07-19,Neural Computation,13,2409-2463,"We define predictive information Ipred(T) as the mutual information between the past and the future of a time series. Three qualitatively different behaviors are found in the limit of large observation times T: Ipred(T) can remain finite, grow logarithmically, or grow as a fractional power law. If the time series allows us to learn a model with a finite number of parameters, then Ipred(T) grows logarithmically with a coefficient that counts the dimensionality of the model space. In contrast, power-law growth is associated, for example, with the learning of infinite parameter (or non-parametric) models such as continuous functions with smoothness constraints. There are connections between the predictive information and measures of complexity that have been defined both in learning theory and the analysis of physical systems through statistical mechanics and dynamical systems theory. Furthermore, in the same way that entropy provides the unique measure of available information consistent with some simple and plausible conditions, we argue that the divergent part of Ipred(T) provides the unique measure for the complexity of dynamics underlying a time series. Finally, we discuss how these ideas may be useful in problems in physics, statistics, and biology.",216,8.4,10.1162/089976601753195969,https://doi.org/10.1162/089976601753195969,2.6500
Lit01,Predictive Representations of State,"M. Littman, R. Sutton, and Satinder Singh",2001,2001-01-03,Neural Information Processing Systems,,1555-1561,"We show that states of a dynamical system can be usefully represented by multi-step, action-conditional predictions of future observations. State representations that are grounded in data in this way may be easier to learn, generalize better, and be less dependent on accurate prior models than, for example, POMDP state representations. Building on prior work by Jaeger and by Rivest and Schapire, in this paper we compare and contrast a linear specialization of the predictive approach with the state representations used in POMDPs and in k-order Markov models. Ours is the first specific formulation of the predictive idea that includes both stochasticity and actions (controls). We show that any system has a linear predictive state representation with number of predictions no greater than the number of states in its minimal POMDP model.",600,24,,https://www.semanticscholar.org/paper/4a7de0669fd835b2efcab97c7d3dc28ea7a1e6a3,2.4500
Sin04,Predictive State Representations: A New Theory for Modeling Dynamical Systems,"Satinder Singh, Michael R. James, and Matthew R. Rudary",2004,2004-07-07,Conference on Uncertainty in Artificial Intelligence,,512-518,"Modeling dynamical systems, both for control purposes and to make predictions about their behavior, is ubiquitous in science and engineering. Predictive state representations (PSRs) are a recently introduced class of models for discrete-time dynamical systems. The key idea behind PSRs and the closely related OOMs (Jaeger's observable operator models) is to represent the state of the system as a set of predictions of observable outcomes of experiments one can do in the system. This makes PSRs rather different from history-based models such as nth-order Markov models and hidden-state-based models such as HMMs and POMDPs. We introduce an interesting construct, the system-dynamics matrix, and show how PSRs can be derived simply from it. We also use this construct to show formally that PSRs are more general than both nth-order Markov models and HMMs/POMDPs. Finally, we discuss the main difference between PSRs and OOMs and conclude with directions for future work.",298,14,,https://www.semanticscholar.org/paper/532c61a2af5cde64628d0cdd2ba0823800118d0f,2.2500
