Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Ort08,A Minimum Relative Entropy Principle for Learning and Acting,Pedro A. Ortega and Daniel A. Braun,2008,2008-10-20,ArXiv,abs/0810.3605,,"This paper proposes a method to construct an adaptive agent that is universal with respect to a given class of experts, where each expert is designed specifically for a particular environment. This adaptive control problem is formalized as the problem of minimizing the relative entropy of the adaptive agent from the expert that is most suitable for the unknown environment. If the agent is a passive observer, then the optimal solution is the well-known Bayesian predictor. However, if the agent is active, then its past actions need to be treated as causal interventions on the I/O stream rather than normal probability conditions. Here it is shown that the solution to this new variational problem is given by a stochastic controller called the Bayesian control rule, which implements adaptive behavior as a mixture of experts. Furthermore, it is shown that under mild assumptions, the Bayesian control rule converges to the control law of the most suitable expert.",126,7.2,10.1613/JAIR.3062,https://doi.org/10.1613/JAIR.3062,2.6000
Ort09,A Bayesian Rule for Adaptive Control based on Causal Interventions,Pedro A. Ortega and Daniel A. Braun,2009,2009-11-26,ArXiv,abs/0911.5104,,"Explaining adaptive behavior is a central problem in artificial intelligence research. Here we formalize adaptive agents as mixture distributions over sequences of inputs and outputs (I/O). Each distribution of the mixture constitutes a ‘possible world’, but the agent does not know which of the possible worlds it is actually facing. The problem is to adapt the I/O stream in a way that is compatible with the true world. A natural measure of adaptation can be obtained by the KullbackLeibler (KL) divergence between the I/O distribution of the true world and the I/O distribution expected by the agent that is uncertain about possible worlds. In the case of pure input streams, the Bayesian mixture provides a well-known solution for this problem. We show, however, that in the case of I/O streams this solution breaks down, because outputs are issued by the agent itself and require a different probabilistic syntax as provided by intervention calculus. Based on this calculus, we obtain a Bayesian control rule that allows modeling adaptive behavior with mixture distributions over I/O streams. This rule might allow for a novel approach to adaptive control based on a minimum KLprinciple.",23,1.4,10.2991/AGI.2010.39,https://doi.org/10.2991/AGI.2010.39,2.4000
Pea94b,A Probabilistic Calculus of Actions,J. Pearl,1994,1994-07-29,ArXiv,abs/1302.6835,,"We present a symbolic machinery that admits both probabilistic and causal information about a given domain and produces probabilistic statements about the effect of actions and the impact of observations. The calculus admits two types of conditioning operators: ordinary Bayes conditioning, P(y|X = x), which represents the observation X = x, and causal conditioning, P(y|do(X = x)), read the probability of Y = y conditioned on holding X constant (at x) by deliberate action. Given a mixture of such observational and causal sentences, together with the topology of the causal graph, the calculus derives new conditional probabilities of both types, thus enabling one to quantify the effects of actions (and policies) from partially specified knowledge bases, such as Bayesian networks in which some conditional probabilities may not be available.",130,4.1,10.1016/B978-1-55860-332-5.50062-6,https://doi.org/10.1016/B978-1-55860-332-5.50062-6,2.3000
Pea94,From Imaging and Stochastic Control to a Calculus of Actions,J. Pearl,1994,,,,,"This paper highlights relationships among stochastic control theory, Lewis’ notion of ""imaging"", and the representation of actions in AI systems. We show that the language of causal graphs offers a practical solution to the frame problem and its two satellites: the ramification and concurrency problems. Finally, we present a symbolic machinery that admits both probabilistic and causal information and produces probabilistic statements about the effect of actions and the impact of observations.",7,0.2,,https://www.semanticscholar.org/paper/868abc852a46c8448c74c28da7781c5263a2da19,1.9000
Pea95b,Probabilistic evaluation of sequential plans from causal models with hidden variables,J. Pearl and J. Robins,1995,1995-08-18,Conference on Uncertainty in Artificial Intelligence,,444-453,"The paper concerns the probabilistic evaluation of plans in the presence of unmeasured variables, each plan consisting of several concurrent or sequential actions. We establish a graphical criterion for recognizing when the effects of a given plan can be predicted from passive observations on measured variables only. When the criterion is satisfied, a closed-form expression is provided for the probability that the plan will achieve a specified goal.",208,6.8,,https://www.semanticscholar.org/paper/afff0ccdca925f0c48bb836c291c84d1ce14156f,1.8000
Pea95,Action as a Local Surgery,J. Pearl,1995,,,,,"What gives us the audacity to expect that actions should have neat and compact representations? Why did the authors of STRIPS [Fikes & Nilsson, 1971] and BURIDAN [Kushmerick et al., 1993] believe they could get away with such short specification for actions? Whether we take the probabilistic paradigm that actions are transformations from probability distributions to probability distributions, or the deterministic paradigm that actions are transformations from states to states, such transformations could in principle be infinitely complex. Yet, in practice, people teach each other rather quickly what actions normally do to the world, people predict the consequences of any given action without much hustle, and AI researchers are writing languages for actions as if it is a God given truth that action representation should be compact, elegant and meaningful. Why? The paradigm I wish to explore in this paper is that these expectations are not only justified but, mainly, that once we understand the justification, we will be in better shape to craft effective representations for actions.",5,0.2,,https://www.semanticscholar.org/paper/39eb2f1af69818dd9a21bc7316dedb5a2e63ed6e,1.3000
Tia08,Identifying Dynamic Sequential Plans,Jin Tian,2008,2008-07-09,Conference on Uncertainty in Artificial Intelligence,,554-561,"We address the problem of identifying dynamic sequential plans in the framework of causal Bayesian networks, and show that the problem is reduced to identifying causal effects, for which there are complete identification algorithms available in the literature.",49,2.7,,https://www.semanticscholar.org/paper/f194a45fb846441d013a560970f79d96c0912851,1.2400
Gho21b,Execution Ordering in AND/OR Graphs with Failure Probabilities,"Priyankar Ghosh, P. Chakrabarti, and P. Dasgupta",2021,2021-08-20,Symposium on Combinatorial Search,,41-48,"'
 
 In this paper we consider finding solutions for problems represented using AND/OR graphs, which contain tasks that can fail when executed. In our  setting each node represent an atomic task which is associated with a failure probability and a rollback penalty. This paper reports the following contributions - (a) an algorithm for finding the optimal ordering of the atomic tasks in a given solution graph which minimizes the expected penalty, (b) an algorithm for finding the optimal ordering in the presence of user defined ordering constraints, and (c) a counter example showing the lack of optimal substructure property for the problem of finding the solution graph having minimum expected penalty, and a pseudo-polynomial algorithm for finding the solution graph with minimum expected penalty.
 
",0,,10.1609/socs.v3i1.18246,https://doi.org/10.1609/socs.v3i1.18246,1.2200
Hec95,Decision-Theoretic Foundations for Causal Reasoning,D. Heckerman and Ross D. Shachter,1995,1995-06-01,J. Artif. Intell. Res.,3,405-430,"We present a definition of cause and effect in terms of decision-theoretic primitives and thereby provide a principled foundation for causal reasoning. Our definition departs from the traditional view of causation in that causal assertions may vary with the set of decisions available. We argue that this approach provides added clarity to the notion of cause. Also in this paper, we examine the encoding of causal relationships in directed acyclic graphs. We describe a special class of influence diagrams, those in canonical form, and show its relationship to Pearl's representation of cause and effect. Finally, we show how canonical form facilitates counterfactual reasoning.",139,4.5,10.1613/JAIR.202,https://doi.org/10.1613/JAIR.202,1.1800
Bry06,Using Interaction to Compute Better Probability Estimates in Plan Graphs,D. Bryce and David E. Smith,2006,,,,,"Plan graphs are commonly used in planning to help compute heuristic “distance” estimates between states and goals. A few authors have also attempted to use plan graphs in probabilistic planning to compute estimates of the probability that propositions can be achieved and actions can be performed. This is done by propagating probability information forward through the plan graph from the initial conditions through each possible action to the action effects, and hence to the propositions at the next layer of the plan graph. The problem with these calculations is that they make very strong independence assumptions in particular, they usually assume that the preconditions for each action are independent of each other. This can lead to gross overestimates in probability when the plans for those preconditions interfere with each other. It can also lead to gross underestimates of probability when there is synergy between the plans for two or more preconditions. In this paper we introduce a notion of the binary interaction between two propositions and actions within a plan graph, show how to propagate this information within a plan graph, and show how this improves probability estimates for planning. This notion of interaction can be thought of as a continuous generalization of the notion of mutual exclusion (mutex) often used in plan graphs. At one extreme (interaction = 0) two propositions or actions are completely mutex. With interaction= 1, two propositions or actions are independent, and with interaction> 1, two propositions or actions are synergistic. Intermediate values can and do occur indicating different degrees to which propositions and action interfere or are synergistic. We compare this approach with another recent approach by Bryce that computes probability estimates using Monte Carlo simulation of possible worlds in plan graphs.",11,0.5,,https://www.semanticscholar.org/paper/0a535bf2697982ff8a6febef7ecff8087a7ee7b6,1.1500
