Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Tia06b,Lumpability and Commutativity of Markov Processes,J. Tian and D. Kannan,2006,2006-07-01,Stochastic Analysis and Applications,24,685 - 702,,36,1.8,10.1080/07362990600632045,https://doi.org/10.1080/07362990600632045,3.4000
Pap02,Consistent abstractions of affine control systems,George Pappas and S. Simic,2002,2002-08-07,IEEE Trans. Autom. Control.,47,745-756,"In this paper, we consider the problem of constructing abstractions of affine control systems that preserve reachability properties, and, in particular, local accessibility. In this framework, showing local accessibility of the higher level, abstracted model is equivalent to showing local accessibility of the, more detailed, lower level model. Given an affine control system and a smooth surjective map, we present a canonical construction for extracting an affine control system describing the trajectories of the abstracted variables. We then obtain conditions on the abstraction maps that render the original and abstracted system equivalent from a local accessibility point of view. Such consistent hierarchies of accessibility preserving abstractions of nonlinear control systems are then considered for various classes of affine control systems including linear, bilinear, drift free, and strict feedback systems.",85,3.6,10.1109/TAC.2002.1000269,https://doi.org/10.1109/TAC.2002.1000269,3.3000
Buc94,Exact and ordinary lumpability in finite Markov chains,P. Buchholz,1994,1994-03-01,Journal of Applied Probability,31,59 - 75,,365,11,10.2307/3215235,https://doi.org/10.2307/3215235,3.1000
Sim61,Aggregation of Variables in Dynamic Systems,H. Simon,1961,1961-04-01,Econometrica,29,183-213,,726,11,10.1007/978-94-010-9521-1_12,https://doi.org/10.1007/978-94-010-9521-1_12,2.9000
Aok68,Control of large-scale dynamic systems by aggregation,M. Aoki,1968,1968-06-01,IEEE Transactions on Automatic Control,13,246-253,"A method is proposed to obtain a model of a dynamic system with a state vector of high dimension. The model is derived by ""aggregating"" the original system state vector into a lower-dimensional vector. Some properties of the aggregation method are investigated in the paper. The concept of aggregation, a generalization of that of projection, is related to that of state vector partition and is useful not only in building a model of reduced dimension, but also in unifying several topics in the control theory such as regulators with incomplete state feedback, characteristic value computations, model controls, and bounds on the solution of the matrix Riccati equations, etc. Using the quantitative definition of weak coupling proposed by Milne, a suboptimal control policy for the weakly coupled system is derived. Questions of performance degradation and of stability of such suboptimally controlled systems are also answered in the paper.",510,8.8,10.1109/TAC.1968.1098900,https://doi.org/10.1109/TAC.1968.1098900,2.7000
Tab05,Quotients of Fully Nonlinear Control Systems,P. Tabuada and George Pappas,2005,2005-05-01,SIAM J. Control. Optim.,43,1844-1866,"In this paper, we introduce and study quotients of fully nonlinear control systems. Our definition is inspired by categorical definitions of quotients as well as recent work on abstractions of affine control systems. We show that quotients exist under mild regularity assumptions and characterize the structure of the quotient state/input space. This allows one to understand how states and inputs of the quotient system are related to states and inputs of the original system. We also introduce a notion of projectability which turns out to be equivalent to controlled invariance. This allows one to regard previous work on symmetries, partial symmetries, and controlled invariance as leading to special types of quotients. We also show the existence of quotients that are not induced by symmetries or controlled invariance. Such decompositions have a potential use in a theory of hierarchical control based on quotients.",44,2.1,10.1137/S0363012901399027,https://doi.org/10.1137/S0363012901399027,2.6000
Del81,Aggregability of dynamic systems and lumpability of Markov chains,"F. Delebecque, J. Quadrat, and P. Kokotovic",1981,1981-12-01,1981 20th IEEE Conference on Decision and Control including the Symposium on Adaptive Processes,,199-203,,1,0.0,10.1109/CDC.1981.269510,https://doi.org/10.1109/CDC.1981.269510,2.6000
Del84,A unified view of aggregation and coherency in networks and Markov chains,"F. Delebecque, J. Quadrat, and P. Kokotovic",1984,1984-10-01,International Journal of Control,40,939-952,"Abstract This paper presents a unified treatment of aggregability, lumpability, coherency, reversibility, partial balance and similar properties appearing in different fields including power systems and queueing theory. A coherency condition, well known in power systems, implies the existence of a finite state filter for Markov chains, while aggregability and coherency yield a new condition for decentralized computation of the invariant measure.",18,0.4,10.1080/00207178408933320,https://doi.org/10.1080/00207178408933320,2.4000
Run15,Compositional Construction of Approximate Abstractions of Interconnected Control Systems,M. Rungger and Majid Zamani,2015,2015-04-14,IEEE Transactions on Control of Network Systems,5,116-127,"We consider a compositional construction of approximate abstractions of interconnected control systems. In our framework, an abstraction acts as a substitute in the controller design process and is itself a continuous control system. The abstraction is related to the concrete control system via a so-called simulation function: a Lyapunov-like function, which is used to establish a quantitative bound between the behavior of the approximate abstraction and the concrete system. In the first part of the paper, we provide a small gain type condition that facilitates the compositional construction of an abstraction of an interconnected control system together with a simulation function from the abstractions and simulation functions of the individual subsystems. In the second part of the paper, we restrict our attention to linear control system and characterize simulation functions in terms of controlled invariant, externally stabilizable subspaces. Based on those characterizations, we propose a particular scheme to construct abstractions for linear control systems. We illustrate the compositional construction of an abstraction on an interconnected system consisting of four linear subsystems. We use the abstraction as a substitute to synthesize a controller to enforce a certain linear temporal logic specification.",63,5.7,10.1145/2728606.2728615,https://doi.org/10.1145/2728606.2728615,2.4000
Jan09,A Fundamental Limit on Productivity in Organizations Collaborative Entropy Costs,R. Janow,2009,,,,,"Many researchers and managers agree that small workgroups tend to lose productivity and speed as they grow large and that decision-making tends to become sluggish in very large organizations. These effects are attributed to collaborative coordination costs that grow in importance as functions of an organization’s scale. Understanding of these effects has however been primarily empirical and qualitative. This paper presents a first-principles mathematical model that quantitatively predicts such productivity variations. It is based on a fundamental cost mechanism that has been overlooked in the past but which nonetheless dramatically limits knowledge workers’ productivity and timely response: one must account for the information associated with each actor’s range of collaborator choices when trying to understand organizations as systems of human knowledge processors. A Shannon-like “collaborative entropy” is quantified and introduced to model the extra decision information that must be generated when an organization distributes its functions among collaborating internal actors. The implied coordination cost is a fundamental limit on the per capita productivity for knowledge work. The productivity limit would apply even if management made perfect resource allocations. Information is lost if actors try to exceed the maximum rates for exchanging decision information. The model compensates for value gained by accessing specialized expertise and hiding complexity. The productivity metric used assumes constant decision quality. In a single growing workgroup the per capita productivity increases while the group is small and lightly loaded, but it falls off logarithmically rather than remaining constant once the group size exceeds a saturation value at which raw decision capacity is all in use. The productivity fall-off is due entirely to collaborative entropy. For organizations as a whole two additional scale effects may apply: the fraction of an actor’s total effort spent in collaboration versus individual work may grow, and the average number of collaborators per actor may also grow owing to increasing specialization. Productivity is then strongly peaked around an optimum organization size and varies rapidly above or below the peak by a factor in the range of 2 5. The productivity impact of collaborative entropy is large enough to strongly affect competitive advantage. Impact is maximized when the ratio of collaborative to individual effort is large. Large organizations may thus be inherently disadvantaged versus small ones wherever fast decision-making or high knowledgeworker productivity are key drivers. Even a modest amount of collaboration significantly decreases the productivity of actors functioning primarily as individual contributors.",0,,,https://www.semanticscholar.org/paper/bdf23a4e9cadb3f669bb76e24fb51e64814ee2e3,2.4000
