Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Cho03,Responsibility and blame: a structural-model approach,Hana Chockler and Joseph Y. Halpern,2003,2003-08-09,ArXiv,cs.AI/0312038,,"Causality is typically treated an all-or-nothing concept; either A is a cause of B or it is not. We extend the definition of causality introduced by Halpern and Pearl [2004a] to take into account the degree of responsibility of A for B. For example, if someone wins an election 11-0, then each person who votes for him is less responsible for the victory than if he had won 6-5. We then define a notion of degree of blame, which takes into account an agent's epistemic state. Roughly speaking, the degree of blame of A for B is the expected degree of responsibility of A for B, taken over the epistemic state of an agent.",404,18,10.1613/JAIR.1391,https://doi.org/10.1613/JAIR.1391,2.2500
Eit01,Complexity results for structure-based causality,Thomas Eiter and Thomas Lukasiewicz,2001,2001-08-04,Artif. Intell.,142,53-89,"We give a precise picture of the computational complexity of causal relationships in Pearl's structural models, where we focus on causality between variables, event causality, and probabilistic causality. As for causality between variables, we consider the notions of causal irrelevance, cause, cause in a context, direct cause, and indirect cause. As for event causality, we analyze the complexity of the notions of necessary and possible cause, and of the sophisticated notions of weak and actual cause by Halpern and Pearl. In the course of this, we also prove an open conjecture by Halpern and Pearl, and establish other semantic results. We then analyze the complexity of the probabilistic notions of probabilistic causal irrelevance, likely causes of events, and occurrences of events despite other events. Moreover, we consider decision and optimization problems involving counterfactual formulas. To our knowledge, no complexity aspects of causal relationships in the structural-model approach have been considered so far, and our results shed light on this issue.",111,4.5,10.1016/S0004-3702(02)00271-0,https://doi.org/10.1016/S0004-3702(02)00271-0,1.9500
Are20,The Tractability of SHAP-Score-Based Explanations for Classification over Deterministic and Decomposable Boolean Circuits,"M. Arenas, P. Barceló, L. Bertossi, and Mikaël Monet",2020,2020-12-10,AAAI Conference on Artificial Intelligence,,6670-6678,"Scores based on Shapley values are widely used for providing explanations to classification results over machine learning models. A prime example of this is the influential SHAP-score, a version of the Shapley value that can help explain the result of a learned model on a specific entity by assigning a score to every feature. While in general computing Shapley values is a computationally intractable problem, it has recently been claimed that the SHAP-score can be computed in polynomial time over the class of decision trees. In this paper, we provide a proof of a stronger result over Boolean models: the SHAP-score can be computed in polynomial time over deterministic and decomposable Boolean circuits. Such circuits, also known as tractable Boolean circuits, generalize a wide range of Boolean circuits and binary decision diagrams classes, including binary decision trees, Ordered Binary Decision Diagrams (OBDDs) and Free Binary Decision Diagrams (FBDDs). We also establish the computational limits of the notion of SHAP-score by observing that, under a mild condition, computing it over a class of Boolean models is always polynomially as hard as the model counting problem for that class. This implies that both determinism and decomposability are essential properties for the circuits that we consider, as removing one or the other renders the problem of computing the SHAP-score intractable (namely, #P-hard).",37,6.8,10.1609/aaai.v35i8.16825,https://doi.org/10.1609/aaai.v35i8.16825,1.5500
Rob03,Uniform consistency in causal inference,"J. Robins, R. Scheines, P. Spirtes, and L. Wasserman",2003,2003-09-01,Biometrika,90,491-515,"There is a long tradition of representing causal relationships by directed acyclic graphs (Wright, 1934). Spirtes (1994), Spirtes et al. (1993) and Pearl & Verma (1991) describe procedures for inferring the presence or absence of causal arrows in the graph even if there might be unobserved confounding variables, andsor an unknown time order, and that under weak conditions, for certain combinations of directed acyclic graphs and probability distributions, are asymptotically, in sample size, consistent. These results are surprising since they seem to contradict the standard statistical wisdom that consistent estimators of causal effects do not exist for nonrandomised studies if there are potentially unobserved confounding variables. We resolve the apparent incompatibility of these views by closely examining the asymptotic properties of these causal inference procedures. We show that the asymptotically consistent procedures are 'pointwise consistent', but 'uniformly consistent' tests do not exist. Thus, no finite sample size can ever be guaranteed to approximate the asymptotic results. We also show the nonexistence of valid, consistent confidence intervals for causal effects and the nonexistence of uniformly consistent point estimators. Our results make no assumption about the form of the tests or estimators. In particular, the tests could be classical independence tests, they could be Bayes tests or they could be tests based on scoring methods such as BIC or AIC. The implications of our results for observational studies are controversial and are discussed briefly in the last section of the paper. The results hinge on the following fact: it is possible to find, for each sample size n, distributions P and Q such that P and Q are empirically indistinguishable and yet P and Q correspond to different causal effects. Copyright Biometrika Trust 2003, Oxford University Press.",165,7.3,10.1093/BIOMET/90.3.491,https://doi.org/10.1093/BIOMET/90.3.491,1.4000
Val79,The Complexity of Enumeration and Reliability Problems,L. Valiant,1979,1979-08-01,SIAM J. Comput.,8,410-421,"The class of $# P$-complete problems is a class of computationally eqivalent counting problems (defined by the author in a previous paper) that are at least as difficult as the $NP$-complete problems. Here we show, for a large number of natural counting problems for which there was no previous indication of intractability, that they belong to this class. The technique used is that of polynomial time reduction with oracles via translations that are of algebraic or arithmetic nature.",2240,48,10.1137/0208032,https://doi.org/10.1137/0208032,1.3500
Shp08,Complete Identification Methods for the Causal Hierarchy,I. Shpitser and J. Pearl,2008,2008-06-01,J. Mach. Learn. Res.,9,1941-1979,"We consider a hierarchy of queries about causal relationships in graphical models, where each level in the hierarchy requires more detailed information than the one below. The hierarchy consists of three levels: associative relationships, derived from a joint distribution over the observable variables; cause-effect relationships, derived from distributions resulting from external interventions; and counterfactuals, derived from distributions that span multiple “parallel worlds” and resulting from simultaneous, possibly conflicting observations and interventions. We completely characterize cases where a given causal query can be computed from information lower in the hierarchy, and provide algorithms that accomplish this computation. Specifically, we show when effects of interventions can be computed from observational studies, and when probabilities of counterfactuals can be computed from experimental studies. We also provide a graphical characterization of those queries which cannot be computed (by any method) from queries at a lower layer of the hierarchy.",278,15,10.5555/1390681.1442797,https://doi.org/10.5555/1390681.1442797,1.2500
Pro83,The Complexity of Counting Cuts and of Computing the Probability that a Graph is Connected,J. Provan and M. Ball,1983,1983-11-01,SIAM J. Comput.,12,777-788,"Several enumeration and reliability problems are shown to be # P-complete, and hence, at least as hard as NP-complete problems. Included are important problems in network reliability analysis, namely, computing the probability that a graph is connected and counting the number of minimum cardinality $(s,t)$-cuts or directed network cuts. Also shown to be # P-complete are counting vertex covers in a bipartite graph, counting antichains in a partial order, and approximating the probability that a graph is connected and the probability that a pair of vertices is connected.",817,19,10.1137/0212053,https://doi.org/10.1137/0212053,1.2200
Bal94,"Counterfactual Probabilities: Computational Methods, Bounds and Applications",Alexander Balke and J. Pearl,1994,1994-07-29,Conference on Uncertainty in Artificial Intelligence,,46-54,"Evaluation of counterfactual queries (e.g., ""If A were true, would C have been true?"") is important to fault diagnosis, planning, and determination of liability. In this paper we present methods for computing the probabilities of such queries using the formulation proposed in [Balke and Pearl, 1994], where the antecedent of the query is interpreted as an external action that forces the proposition A to be true. When a prior probability is available on the causal mechanisms governing the domain, counterfactual probabilities can be evaluated precisely. However, when causal knowledge is specified as conditional probabilities on the observables, only bounds can computed. This paper develops techniques for evaluating these bounds, and demonstrates their use in two applications: (1) the determination of treatment efficacy from studies in which subjects may choose their own treatment, and (2) the determination of liability in product-safety litigation.",273,8.6,10.1016/B978-1-55860-332-5.50011-0,https://doi.org/10.1016/B978-1-55860-332-5.50011-0,1.1800
Eit02b,Causes and explanations in the structural-model approach: Tractable cases,Thomas Eiter and Thomas Lukasiewicz,2002,2002-08-01,Artificial Intelligence,,146-153,"This paper continues the research on the computational aspects of Halpern and Pearl's causes and explanations in the structural-model approach. To this end, we first explore how an instance of deciding weak cause can be reduced to an equivalent instance in which irrelevant variables in the (potential) weak cause and the causal model are removed, which extends previous work by Hopkins. We then present a new characterization of weak cause for a certain class of causal models in which the causal graph over the endogenous variables has the form of a directed chain of causal subgraphs, called decomposable causal graph. Furthermore, we also identify two important subclasses in which the causal graph over the endogenous variables forms a directed tree and more generally a directed chain of layers, called causal tree and layered causal graph, respectively. By combining the removal of irrelevant variables with this new characterization of weak cause, we then obtain techniques for deciding and computing causes and explanations in the structural-model approach, which can be done in polynomial time under suitable restrictions. This way, we obtain several tractability results for causes and explanations in the structural-model approach. To our knowledge, these are the first explicit ones. They are especially useful for dealing with structure-based causes and explanations in first-order reasoning about actions, which produces large causal models that are naturally layered through the time line, and thus have the structure of layered causal graphs. Furthermore, an important feature of the tractable cases for causal trees and layered causal graphs is that they can be recognized efficiently, namely in linear time. Finally, by extending the new characterization of weak cause, we obtain similar techniques for computing the degrees of responsibility and blame, and hence also novel tractability results for structure-based responsibility and blame.",35,1.5,10.1016/j.artint.2005.12.003,https://doi.org/10.1016/j.artint.2005.12.003,1.1600
Shp06b,Identification of Joint Interventional Distributions in Recursive Semi-Markovian Causal Models,I. Shpitser and J. Pearl,2006,2006-07-01,AAAI Conference on Artificial Intelligence,,1219-1226,"This paper is concerned with estimating the effects of actions from causal assumptions, represented concisely as a directed graph, and statistical knowledge, given as a probability distribution. We provide a necessary and sufficient graphical condition for the cases when the causal effect of an arbitrary set of variables on another arbitrary set can be determined uniquely from the available information, as well as an algorithm which computes the effect whenever this condition holds. Furthermore, we use our results to prove completeness of do-calculus [Pearl, 1995], and a version of an identification algorithm in [Tian, 2002] for the same identification problem. Finally, we derive a complete characterization of semi-Markovian models in which all causal effects are identifiable.",368,19,,https://www.semanticscholar.org/paper/8406f5a04ec47a74f23c4ea1e93fe8af158475b4,1.1400
Cha01c,When do Numbers Really Matter?,H. Chan and Adnan Darwiche,2001,2001-08-02,ArXiv,abs/1408.1692,,"Common wisdom has it that small distinctions in the probabilities quantifying a belief network do not matter much for the results of probabilistic queries. Yet, one can develop realistic scenarios under which small variations in network probabilities can lead to significant changes in computed queries. A pending theoretical question is then to analytically characterize parameter changes that do or do not matter. In this paper, we study the sensitivity of probabilistic queries to changes in network parameters and prove some tight bounds on the impact that such parameters can have on queries. Our analytical results pinpoint some interesting situations under which parameter changes do or do not matter. These results are important for knowledge engineers as they help them identify influential network parameters. They also help explain some of the previous experimental results and observations with regards to network robustness against parameter changes.",124,5.0,10.1613/jair.967,https://doi.org/10.1613/jair.967,1.1200
Hol79,Moral Hazard and Observability,Bengt R. Holmstrom,1979,,The Bell Journal of Economics,10,74-91,"The role of imperfect information in a principal-agent relationship subject to moral hazard is considered. A necessary and sufficient condition for imperfect information to improve on contracts based on the payoff alone is derived, and a characterization of the optimal use of such information is given.",8371,177,10.2307/3003320,https://doi.org/10.2307/3003320,1.1000
Pea95b,Probabilistic evaluation of sequential plans from causal models with hidden variables,J. Pearl and J. Robins,1995,1995-08-18,Conference on Uncertainty in Artificial Intelligence,,444-453,"The paper concerns the probabilistic evaluation of plans in the presence of unmeasured variables, each plan consisting of several concurrent or sequential actions. We establish a graphical criterion for recognizing when the effects of a given plan can be predicted from passive observations on measured variables only. When the criterion is satisfied, a closed-form expression is provided for the probability that the plan will achieve a specified goal.",208,6.8,,https://www.semanticscholar.org/paper/afff0ccdca925f0c48bb836c291c84d1ce14156f,1.0800
Hol91,"Multitask Principal–Agent Analyses: Incentive Contracts, Asset Ownership, and Job Design",Bengt R. Holmstrom and Paul R. Milgrom,1991,,Journal of Law Economics & Organization,7,24-52,,4941,140,10.1093/JLEO/7.SPECIAL_ISSUE.24,https://doi.org/10.1093/JLEO/7.SPECIAL_ISSUE.24,1.0700
Ale14,The Computational Complexity of Structure-Based Causality,"Gadi Aleksandrowicz, Hana Chockler, Joseph Y. Halpern, and A. Ivrii",2014,2014-06-21,ArXiv,abs/1412.3076,,"'
 
 Halpern and Pearl introduced a definition of actual causality; Eiter and Lukasiewicz showed that computing whether X = x is a cause of Y = y is NP-complete in binary models (where all variables can take on only two values) and \Sigma^P_2-complete in general models. In the final version of their paper, Halpern and Pearl slightly modified the definition of actual cause, in order to deal with problems pointed by Hopkins and Pearl. As we show, this modification has a nontrivial impact on the complexity of computing actual cause. To characterize the complexity, a new family D_k^P , k = 1,2,3,..., of complexity classes is introduced, which generalizes the class D^P introduced by Papadimitriou and Yannakakis (DP is just D^P_1). We show that the complexity of computing causality under the updated definition is D^P_2 -complete. Chockler and Halpern extended the definition of causality by introducing notions of responsibility and blame. The complexity of determining the degree of responsibility and blame using the original definition of causality was completely characterized. Again, we show that changing the definition of causality affects the complexity, and completely characterize it using the updated definition.
 
",38,3.2,10.1613/jair.5229,https://doi.org/10.1613/jair.5229,1.0600
Kar23i,From Shapley Value to Model Counting and Back,"A. Kara, Dan Olteanu, and Dan Suciu",2023,2023-06-25,Proceedings of the ACM on Management of Data,2,1 - 23,"In this paper we investigate the problem of quantifying the contribution of each variable to the satisfying assignments of a Boolean function based on the Shapley value. Our main result is a polynomial-time equivalence between computing Shapley values and model counting for any class of Boolean functions that are closed under substitutions of variables with disjunctions of fresh variables. This result settles an open problem raised in prior work, which sought to connect the Shapley value computation to probabilistic query evaluation. We show two applications of our result. First, the Shapley values can be computed in polynomial time over deterministic and decomposable circuits, since they are closed under OR-substitutions. Second, there is a polynomial-time equivalence between computing the Shapley value for the tuples contributing to the answer of a Boolean conjunctive query and counting the models in the lineage of the query. This equivalence allows us to immediately recover the dichotomy for Shapley value computation in case of self-join-free Boolean conjunctive queries; in particular, the hardness for non-hierarchical queries can now be shown using a simple reduction from the \#P-hard problem of model counting for lineage in positive bipartite disjunctive normal form.",17,5.9,10.1145/3651142,https://doi.org/10.1145/3651142,1.0400
Mac19,"What can be estimated? Identifiability, estimability, causal inference and ill-posed inverse problems",Oliver J. Maclaren and R. Nicholson,2019,2019-04-04,ArXiv,abs/1904.02826,,"We consider basic conceptual questions concerning the relationship between statistical estimation and causal inference. Firstly, we show how to translate causal inference problems into an abstract statistical formalism without requiring any structure beyond an arbitrarily-indexed family of probability models. The formalism is simple but can incorporate a variety of causal modelling frameworks, including 'structural causal models', but also models expressed in terms of, e.g., differential equations. We focus primarily on the structural/graphical causal modelling literature, however. Secondly, we consider the extent to which causal and statistical concerns can be cleanly separated, examining the fundamental question: 'What can be estimated from data?'. We call this the problem of estimability. We approach this by analysing a standard formal definition of 'can be estimated' commonly adopted in the causal inference literature -- identifiability -- in our abstract statistical formalism. We use elementary category theory to show that identifiability implies the existence of a Fisher-consistent estimator, but also show that this estimator may be discontinuous, and thus unstable, in general. This difficulty arises because the causal inference problem is, in general, an ill-posed inverse problem. Inverse problems have three conditions which must be satisfied to be considered well-posed: existence, uniqueness, and stability of solutions. Here identifiability corresponds to the question of uniqueness; in contrast, we take estimability to mean satisfaction of all three conditions, i.e. well-posedness. Lack of stability implies that naive translation of a causally identifiable quantity into an achievable statistical estimation target may prove impossible. Our article is primarily expository and aimed at unifying ideas from multiple fields, though we provide new constructions and proofs.",43,6.0,,https://www.semanticscholar.org/paper/b6323dc3a2ae98d88710221512b9e7d75eb51e54,1.0300
Cha04,Sensitivity Analysis in Bayesian Networks: From Single to Multiple Parameters,H. Chan and Adnan Darwiche,2004,2004-07-07,Conference on Uncertainty in Artificial Intelligence,,67-75,"Previous work on sensitivity analysis in Bayesian networks has focused on single parameters, where the goal is to understand the sensitivity of queries to single parameter changes, and to identify single parameter changes that would enforce a certain query constraint. In this paper, we expand the work to multiple parameters which may be in the CPT of a single variable, or the CPTs of multiple variables. Not only do we identify the solution space of multiple parameter changes that would be needed to enforce a query constraint, but we also show how to find the optimal solution, that is, the one which disturbs the current probability distribution the least (with respect to a specific measure of disturbance). We characterize the computational complexity of our new techniques and discuss their applications to developing and debugging Bayesian networks, and to the problem of reasoning about the value (reliability) of new information.",126,5.8,,https://www.semanticscholar.org/paper/d117bf830521209da2f6833b98fa55f04e760e05,1.0200
Yas08,A Method for Sensor Placement Taking into Account Diagnosability Criteria,"Abed Alrahim Yassine, S. Ploix, and J. Flaus",2008,2008-12-01,International Journal of Applied Mathematics and Computer Sciences,18,497 - 512,"A Method for Sensor Placement Taking into Account Diagnosability Criteria This paper presents a new approach to sensor placement based on diagnosability criteria. It is based on the study of structural matrices. Properties of structural matrices regarding detectability, discriminability and diagnosability are established in order to be used by sensor placement methods. The proposed approach manages any number of constraints modelled by linear or nonlinear equations and it does not require the design of analytical redundancy relations. Assuming that a constraint models a component and that the cost of the measurement of each variable is defined, a method determining sensor placements satisfying diagnosability specifications, where all the diagnosable, discriminable and detectable constraint sets are specified, is proposed. An application example dealing with a dynamical linear system is presented.",47,2.7,10.2478/v10006-008-0044-5,https://doi.org/10.2478/v10006-008-0044-5,1.0100
Hsu01,Efficient computation of marginal reliability-importance for reducible+ networks,S. J. Hsu and M. Yuang,2001,2001-03-01,IEEE Trans. Reliab.,50,98-106,"Marginal reliability importance (MRI) of a link with respect to terminal-pair reliability (TR) is the rate to which TR changes with the modification of the success probability of the link. It is a quantitative measure reflecting the importance of the individual link in contributing to TR of a given network. Computing MRI for general networks is an NP-complete problem. Attention has been drawn to a particular set of networks (reducible networks), which can be simplified to source-sink (2-node) networks via 6 simple reduction rules (axioms). The computational complexity of the MRI problem for such networks is polynomial bounded. This paper proposes a new reduction rule, referred to as triangle reduction. The triangle reduction rule transforms a graph containing a triangle subgraph to that excluding the base of the triangle, with constant complexity. Networks which can be fully reduced to source-sink networks by the triangle reduction rule, in addition to the 6 reduction rules, are further defined as reducible/sup +/ networks. For efficient computation of MRI for reducible/sup +/ networks, a 2-phase (2-P) algorithm is given. The 2-P algorithm performs network reduction in phase 1. In each reduction step, the 2-P algorithm generates the correlation, quantified by a reduction factor, between the original network and the reduced network. In phase 2, the 2-P algorithm backtracks the reduction steps and computes MRI, based on the reduction factors generated in phase 1 and a set of closed-form TR formulas. As a result, the 2-P algorithm yields a linearly bounded complexity for the computation of MRI for reducible/sup +/ networks. Experimental results from real networks and benchmarks show the superiority, by two orders of magnitude, of the 2-P algorithm over the traditional approach.",12,0.5,10.1109/24.935023,https://doi.org/10.1109/24.935023,0.9700
Ric12b,Nested Markov Properties for Acyclic Directed Mixed Graphs,"T. Richardson, J. Robins, and I. Shpitser",2012,2012-08-14,Conference on Uncertainty in Artificial Intelligence,,13,"Directed acyclic graph (DAG) models may be characterized in four different ways: via a factorization, the d-separation criterion, the moralization criterion, and the local Markov property. As pointed out by Robins [2, 1], Verma and Pearl [6], and Tian and Pearl [5], marginals of DAG models also imply equality constraints that are not conditional independences. The well-known 'Verma constraint' is an example. Constraints of this type were used for testing edges [3], and an efficient variable elimination scheme [4]. Using acyclic directed mixed graphs (ADMGs) we provide a graphical characterization of the constraints given in [5] via a nested Markov property that uses a 'fixing' transformation on graphs. We give four characterizations of our nested model that are analogous to those given for DAGs. We show that marginal distributions of DAG models obey this property.",145,11,10.1214/22-AOS2253,https://doi.org/10.1214/22-AOS2253,0.9600
Pea00b,"Causality: Models, Reasoning and Inference",J. Pearl,2000,,,,,"1. Introduction to probabilities, graphs, and causal models 2. A theory of inferred causation 3. Causal diagrams and the identification of causal effects 4. Actions, plans, and direct effects 5. Causality and structural models in the social sciences 6. Simpson's paradox, confounding, and collapsibility 7. Structural and counterfactual models 8. Imperfect experiments: bounds and counterfactuals 9. Probability of causation: interpretation and identification Epilogue: the art and science of cause and effect.",792,30,10.2307/3182612,https://doi.org/10.2307/3182612,0.9600
Bar75,Importance of System Components and Fault Tree Events.,R. Barlow and F. Proschan,1975,1975-04-01,Stochastic Processes and their Applications,3,153-173,,316,6.2,10.1016/0304-4149(75)90013-7,https://doi.org/10.1016/0304-4149(75)90013-7,0.9500
