Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Bal18,The modularity of action and perception revisited using control theory and active inference,Manuel Baltieri and C. Buckley,2018,2018-06-07,IEEE Symposium on Artificial Life,,121-128,"The assumption that action and perception can be investigated independently is entrenched in theories, models and experimental approaches across the brain and mind sciences. In cognitive science, this has been a central point of contention between computationalist and 4Es (enactive, embodied, extended and embedded) theories of cognition, with the former embracing the ""classical sandwich"", modular, architecture of the mind and the latter actively denying this separation can be made. In this work we suggest that the modular independence of action and perception strongly resonates with the separation principle of control theory and furthermore that this principle provides formal criteria within which to evaluate the implications of the modularity of action and perception. We will also see that real-time feedback with the environment, often considered necessary for the definition of 4Es ideas, is not however a sufficient condition to avoid the ""classical sandwich"". Finally, we argue that an emerging framework in the cognitive and brain sciences, active inference, extends ideas derived from control theory to the study of biological systems while disposing of the separation principle, describing non-modular models of behaviour strongly aligned with 4Es theories of cognition.",19,2.4,10.1162/isal_a_00031,https://doi.org/10.1162/isal_a_00031,2.6000
Won68,On the Separation Theorem of Stochastic Control,W. Wonham,1968,1968-05-01,Siam Journal on Control,6,312-326,Optimal control and filtering problem for stochastic linear dynamic system reduced to independent equations,536,9.2,10.1137/0306023,https://doi.org/10.1137/0306023,2.2500
Wit71,Separation of estimation and control for discrete time systems,H. Witsenhausen,1971,1971-11-01,,59,1557-1566,"An attempt is made to coordinate the numerous results relating to separation of estimation and control in discrete time stochastic control theory. The results vary widely depending upon the assumptions about linearity, criteria, information pattern, constraints, and noise distributions. Some of the less well-known underlying concepts are discussed with the help of a fairly general model.",556,10,10.1109/PROC.1971.8488,https://doi.org/10.1109/PROC.1971.8488,1.9500
Bal20,"On Kalman-Bucy filters, linear quadratic control and active inference",Manuel Baltieri and C. Buckley,2020,2020-05-13,arXiv: Neurons and Cognition,,,"Linear Quadratic Gaussian (LQG) control is a framework first introduced in control theory that provides an optimal solution to linear problems of regulation in the presence of uncertainty. This framework combines Kalman-Bucy filters for the estimation of hidden states with Linear Quadratic Regulators for the control of their dynamics. Nowadays, LQG is also a common paradigm in neuroscience, where it is used to characterise different approaches to sensorimotor control based on state estimators, forward and inverse models. According to this paradigm, perception can be seen as a process of Bayesian inference and action as a process of optimal control. Recently, active inference has been introduced as a process theory derived from a variational approximation of Bayesian inference problems that describes, among others, perception and action in terms of (variational and expected) free energy minimisation. Active inference relies on a mathematical formalism similar to LQG, but offers a rather different perspective on problems of sensorimotor control in biological systems based on a process of biased perception. In this note we compare the mathematical treatments of these two frameworks for linear systems, focusing on their respective assumptions and highlighting their commonalities and technical differences.",11,1.8,,https://www.semanticscholar.org/paper/c378ef9646a7c705d41ee9f77420b5259b797403,1.8500
Sma73,The Optimal Control of Partially Observable Markov Processes over a Finite Horizon,R. Smallwood and E. Sondik,1973,1973-10-01,Oper. Res.,21,1071-1088,"This paper formulates the optimal control problem for a class of mathematical models in which the system to be controlled is characterized by a finite-state discrete-time Markov process. The states of this internal process are not directly observable by the controller; rather, he has available a set of observable outputs that are only probabilistically related to the internal state of the system. The formulation is illustrated by a simple machine-maintenance example, and other specific application areas are also discussed. The paper demonstrates that, if there are only a finite number of control intervals remaining, then the optimal payoff function is a piecewise-linear, convex function of the current state probabilities of the internal Markov process. In addition, an algorithm for utilizing this property to calculate the optimal control policy and payoff function for any finite horizon is outlined. These results are illustrated by a numerical example for the machine-maintenance problem.",1737,33,10.1287/opre.21.5.1071,https://doi.org/10.1287/opre.21.5.1071,1.7000
Cur69,Separation theorem for nonlinear measurements,R. Curry,1969,1969-10-01,IEEE Transactions on Automatic Control,14,1-4,"General solutions to the optimal stochastic control problem, or the combined estimation and control problem, are extremely difficult to compute since dynamic programming is required. However, if the system is linear, if the measurements are linear, and if the cost is quadratic, then the optimal stochastic controller is separated into 1) a filter to generate the conditional mean of the state, and 2) the optimum (linear) controller that results when all uncertainties are neglected. By altering the system configuration a new separation theorem is derived for arbitrary nonlinear measurements, discrete-time linear systems, and a quadratic cost. If a feedback loop is placed around the nonlinear measurement device (e.g., an analog-to-digital converter), then the stochastic control can be found without dynamic programming and is computed by cascading a nonlinear filter and the optimum (linear) controller. The primary advantage is the significant saving in computation. The performance of this new system configuration relative to the system without feedback depends on the nonlinearity, and it is not necessarily superior. A numerical example is presented.",29,0.5,10.1109/JACC.1969.4169190,https://doi.org/10.1109/JACC.1969.4169190,1.6000
Tan15,LQG Control with Minimal Information: Three-Stage Separation Principle and SDP-based Solution Synthesis,"Takashi Tanaka, Peyman Mohajerin Esfahani, and S. Mitter",2015,2015-10-14,ArXiv,abs/1510.04214,,"In the interest of evaluating an information-theoretic requirement for feedback control, this paper proposes a framework to synthesize a control policy that minimizes Massey’s directed information from the state sequence to the control sequence while attaining required Linear-Quadratic-Gaussian (LQG) control performance. Interpretation and significance of this framework is discussed in the context of networked control theory. As the main result, we show that an optimal control policy can be realized by an attractively simple three-stage decision architecture comprising (1) a linear sensor with additive Gaussian noise, (2) a Kalman filter, and (3) a certainty equivalence controller. This result suggests an integration of two separation principles previously known in the literature: the filter-controller separation principle in the LQG control theory, and the sensorfilter separation principle in zero-delay rate-distortion theory for Gauss-Markov sources. It is also shown that an optimal policy can be synthesized by semidefinite programming (SDP). Both time-varying finite-horizon problems and time-invariant infinitehorizon problems are considered. Our results can be viewed as a generalization of the data-rate theorem for mean-square stability by Nair & Evans, extended for a control performance analysis.",12,1.1,,https://www.semanticscholar.org/paper/daeb13fee5360fff8440d2a3bfc080611c1220dc,1.5500
Tan15b,LQG Control With Minimum Directed Information: Semidefinite Programming Approach,"Takashi Tanaka, Peyman Mohajerin Esfahani, and S. Mitter",2015,2015-10-14,IEEE Transactions on Automatic Control,63,37-52,"We consider a discrete-time linear–quadratic–Gaussian (LQG) control problem, in which Massey's directed information from the observed output of the plant to the control input is minimized, while required control performance is attainable. This problem arises in several different contexts, including joint encoder and controller design for data-rate minimization in networked control systems. We show that the optimal control law is a linear–Gaussian randomized policy. We also identify the state-space realization of the optimal policy, which can be synthesized by an efficient algorithm based on semidefinite programming. Our structural result indicates that the filter–controller separation principle from the LQG control theory and the sensor–filter separation principle from the zero-delay rate-distortion theory for Gauss–Markov sources hold simultaneously in the considered problem. A connection to the data-rate theorem for mean-square stability by Nair and Evans is also established.",113,11,10.1109/TAC.2017.2709618,https://doi.org/10.1109/TAC.2017.2709618,1.5000
Bar74,"Dual effect, certainty equivalence, and separation in stochastic control",Y. Bar-Shalom and E. Tse,1974,1974-10-01,IEEE Transactions on Automatic Control,19,494-500,"In this paper the various policies in fixed end-time stochastic control are discussed first. The emphasis is on the difference between the feedback and closed-loop policies. It is shown how the closed-loop policy has the important property that it can be actively adaptive, while the feedback policy can only be passively adaptive. The feature of being actively adaptive is possible when the control has a dual effect, i.e., in addition to its effect on the state it affects the state uncertainty. The intimate connection between the neutrality (lack of dual effect) and certainty equivalence properties for a class of problems is proved. This new result is then used to widen the class of problems for which it was previously known that the certainty equivalence property holds.",396,7.7,10.1109/TAC.1974.1100635,https://doi.org/10.1109/TAC.1974.1100635,1.4500
Cao14,Partial-Information State-Based Optimization of Partially Observable Markov Decision Processes and the Separation Principle,"Xi-Ren Cao, De-Xin Wang, and L. Qiu",2014,2014-01-27,IEEE Transactions on Automatic Control,59,921-936,,17,1.4,10.1109/TAC.2013.2293397,https://doi.org/10.1109/TAC.2013.2293397,1.4200
Fri12,Active inference and agency: optimal control without cost functions,"Karl J. Friston, Spyridon Samothrakis, and P. Montague",2012,2012-10-01,Biological Cybernetics,106,523-541,"This paper describes a variational free-energy formulation of (partially observable) Markov decision problems in decision making under uncertainty. We show that optimal control can be cast as active inference. In active inference, both action and posterior beliefs about hidden states minimise a free energy bound on the negative log-likelihood of observed states, under a generative model. In this setting, reward or cost functions are absorbed into prior beliefs about state transitions and terminal states. Effectively, this converts optimal control into a pure inference problem, enabling the application of standard Bayesian filtering techniques. We then consider optimal trajectories that rest on posterior beliefs about hidden states in the future. Crucially, this entails modelling control as a hidden state that endows the generative model with a representation of agency. This leads to a distinction between models with and without inference on hidden control states; namely, agency-free and agency-based models, respectively.",223,16,10.1007/s00422-012-0512-8,https://doi.org/10.1007/s00422-012-0512-8,1.3800
Geo98,The Belief-Desire-Intention Model of Agency,"M. Georgeff, B. Pell, M. Pollack, Milind Tambe, and M. Wooldridge",1998,1998-07-04,ATAL,,1-10,,705,25,10.1007/3-540-49057-4_1,https://doi.org/10.1007/3-540-49057-4_1,1.3500
Geo11,"The Separation Principle in Stochastic Control, Redux",T. Georgiou and A. Lindquist,2011,2011-03-15,IEEE Transactions on Automatic Control,58,2481-2494,"Over the last 50 years, a steady stream of accounts have been written on the separation principle of stochastic control. Even in the context of the linear-quadratic regulator in continuous time with Gaussian white noise, subtle difficulties arise, unexpected by many, that are often overlooked. In this paper we propose a new framework for establishing the separation principle. This approach takes the viewpoint that stochastic systems are well-defined maps between sample paths rather than stochastic processes per se and allows us to extend the separation principle to systems driven by martingales with possible jumps. While the approach is more in line with “real-life” engineering thinking where signals travel around the feedback loop, it is unconventional from a probabilistic point of view in that control laws for which the feedback equations are satisfied almost surely, and not deterministically for every sample path, are excluded.",64,4.2,10.1109/TAC.2013.2259207,https://doi.org/10.1109/TAC.2013.2259207,1.3300
Nil01,Teleo-Reactive Programs and the Triple-Tower Architecture,N. Nilsson,2001,,Electron. Trans. Artif. Intell.,5,99-110,"I describe an architecture for linking perception and action in a robot. It consists of three “towers” of layered components. The “perception tower” contains rules that create increasingly abstract descriptions of the current environmental situation starting with the primitive predicates produced by the robot’s sensory apparatus. These descriptions are deposited in a “model tower” which is continuously kept faithful to the current environmental situation by a “truthmaintenance” system. The predicates in the model tower, in turn, evoke appropriate action-producing programs in the “action tower.” It is proposed that the actions be written as “teleo-reactive” programs---ones that react dynamically to changing situations in ways that lead inexorably toward their goals. Programs in the action tower are organized more-or-less hierarchically---bottoming out in programs that cause the robot to take primitive actions in its environment. The effects of the actions are sensed by the robot’s sensory mechanism, completing a sense-model-act cycle that is quiescent only at those times when the robot’s goal is perceived to be satisfied. I illustrate the operation of the architecture using a simple block-stacking task. I. Agent Architectures Can anything in general be said about intelligent agent architectures? Just as there are millions of species of animals, occupying millions of different niches, I expect that there will be many species of artificial agents---each a specialist for one of a countless number of tasks. The exact forms of their architectures will depend on their tasks and their environments. For example, some will work in time-stressed situations in which reactions to unpredictable and changing environmental states must be fast and unequivocal. Others will have the time and the knowledge to predict the effects of future courses of action so that more rational choices can be made. Even though there will probably never be a single, all-purpose agent architecture, there is one that I think might play a prominent role in many future systems. It can be viewed as an elaboration of 1 Parts of this section are adapted from Chapter 25 of my book, Artificial Intelligence: A New Synthesis, San Francisco: Morgan Kaufmann, 1998. 2 the first two levels of the popular three-level architectures that have been prominent in robotics research. A. Three-Level Architectures One of the first integrated intelligent agent systems was a collection of computer programs and hardware known as “Shakey the Robot” (Nilsson, 1984). Shakey's design was an early example of what has come to be called a three-level architecture. The levels correspond to different paths from sensory signals to motor commands. At the lowest level of such architectures are actions that use a short and fast path from sensory signals to effectors. Important “reflexes” are handled by this pathway---such as “stop” when touch sensors detect a close object ahead. Servo control of motors for achieving set-point targets for shaft angles and so on are also handled by these low-level mechanisms. The intermediate level combines the low level actions into more complex behaviors---ones whose realization depends on the situation (as sensed and modeled) at the time of execution. This level uses more abstract (or more “coarse”) perceptual predicates and more complex actions than do the lower ones. Whereas reflex actions are typically evoked by primitive sensory signals, the coordination of intermediate-level actions requires more elaborate perceptual processing. The third level usually involves systems that can generate plans consisting of a sequence of intermediate level programs. The three-level architecture has been used in a variety of robot systems. As a typical example, see (Connell, 1992). B. The Triple-Tower Architecture A generalization of the three-level architecture has been proposed by Albus and colleagues (Albus, 1991; Albus, McCain, & Lumia, 1989). They envision hierarchies or “towers” of perceptual, modeling, and action processing. We propose here a particular instantiation of their triple-tower architecture. The novel features of our proposal are: 1. The use of teleo-reactive programs in the action tower 2. The use of perceptual rules in the perception tower. These rules create increasingly abstract predicates from simpler ones 3. The use of a truth-maintenance system (TMS) to keep the predicates in the model tower continuously faithful to changes in the sensed environment My version of this triple-tower architecture is illustrated in Figure 1. The operation of such a system would proceed as follows: Aspects of the environment that are relevant to the agent’s roles are sensed and converted to primitive predicates and values. These are stored at the lowest level of the model tower. Their presence there may immediately evoke primitive actions at the bottom of the action tower. These actions, in turn, affect the environment, and some of these effects may be sensed---creating a loop in which the environment itself might play an important computational role. 3 The perception tower consists of rules that convert predicates stored in the model tower into more abstract predicates which are then deposited at higher levels in the model tower. These processes can continue until even the highest levels of the model tower are populated. Fig. 1. A Triple-Tower Architecture The action tower consists of a loose hierarchy of action routines that are triggered by the contents of the model tower. The lowest level action routines are simple reflexes---evoked by predicates corresponding to primitive percepts. More complex actions are evoked by more abstract predicates appropriate for those actions. High-level actions “call” other actions until the process bottoms out at the primitive actions that actually affect the environment. We also allow for the possibility that the actions themselves might affect the model tower directly (in addition to the loop through the environment) by writing additional and/or altered content. With the ability both to read from and write in memory, the triple-tower structure is a perfectly general computational architecture. Sensors Model Tower (Predicates + TMS) Perception Tower (Rules) Action Tower (Action Routines)",95,3.8,,https://www.semanticscholar.org/paper/77acafa1404f2fcaf02723f6366211e34d1fc8e6,1.2800
Gat97,On Three-Layer Architectures,E. Gat,1997,,,,,"In the mid-1980's Rodney Brooks touched off a firestorm of interest in autonomous robots with the introduction of the Subsumption architecture1 [Brooks86]. At the time, the dominant view in the AI community was that a control system for an autonomous mobile robot should be decomposed into three functional elements: a sensing system, a planning system, and an execution system [Nilsson80]. The job of the sensing system is to translate raw sensor input (usually sonar or vision data) into a world model. The job of the planner is to take the world model and a goal and generate a plan to achieve the goal. The job of the execution system is to take the plan and generate the actions it prescribes.",853,29,,https://www.semanticscholar.org/paper/9b28b296a0225049d241cfe0ff1b39d7a14f68da,1.2400
Sub20,Approximate information state for approximate planning and reinforcement learning in partially observed systems,"Jayakumar Subramanian, Amit Sinha, Raihan Seraj, and A. Mahajan",2020,2020-10-17,ArXiv,abs/2010.08843,,"We propose a theoretical framework for approximate planning and learning in partially observed systems. Our framework is based on the fundamental notion of information state. We provide two equivalent definitions of information state---i) a function of history which is sufficient to compute the expected reward and predict its next value; ii) equivalently, a function of the history which can be recursively updated and is sufficient to compute the expected reward and predict the next observation. An information state always leads to a dynamic programming decomposition. Our key result is to show that if a function of the history (called approximate information state (AIS)) approximately satisfies the properties of the information state, then there is a corresponding approximate dynamic program. We show that the policy computed using this is approximately optimal with bounded loss of optimality. We show that several approximations in state, observation and action spaces in literature can be viewed as instances of AIS. In some of these cases, we obtain tighter bounds. A salient feature of AIS is that it can be learnt from data. We present AIS based multi-time scale policy gradient algorithms. and detailed numerical experiments with low, moderate and high dimensional environments.",112,20,,https://www.semanticscholar.org/paper/abde7540643e5093cba41a2e4554116bb9241980,1.2200
Tse71,On the optimal control of stochastic linear systems,E. Tse,1971,1971-12-01,IEEE Transactions on Automatic Control,16,776-785,The problem of controlling stochastic linear systems with quadratic criteria is considered. It is proved that the optimal control law can be realized by the cascade of a Kalman filter and a linear feedback. The importance of different assumptions required in this proof is discussed in detail. This discussion provides some motivation for different extension results.,47,0.9,10.1109/TAC.1971.1099840,https://doi.org/10.1109/TAC.1971.1099840,1.2000
