Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Aub91b,Viability theory,J. Aubin,1991,,,,,,1632,46,10.1007/978-0-8176-4910-4,https://doi.org/10.1007/978-0-8176-4910-4,2.2000
Kol12b,A Theory of Goal-Oriented MDPs with Dead Ends,"A. Kolobov, Mausam, and Daniel S. Weld",2012,2012-08-14,ArXiv,abs/1210.4875,,"Stochastic Shortest Path (SSP) MDPs is a problem class widely studied in AI, especially in probabilistic planning. They describe a wide range of scenarios but make the restrictive assumption that the goal is reachable from any state, i.e., that dead-end states do not exist. Because of this, SSPs are unable to model various scenarios that may have catastrophic events (e.g., an airplane possibly crashing if it flies into a storm). Even though MDP algorithms have been used for solving problems with dead ends, a principled theory of SSP extensions that would allow dead ends, including theoretically sound algorithms for solving such MDPs, has been lacking. In this paper, we propose three new MDP classes that admit dead ends under increasingly weaker assumptions. We present Value Iteration-based as well as the more efficient heuristic search algorithms for optimally solving each class, and explore theoretical relationships between these classes. We also conduct a preliminary empirical study comparing the performance of our algorithms on different MDP classes, especially on scenarios with unavoidable dead ends.",95,6.9,,https://www.semanticscholar.org/paper/7b879ee4a07228cdbbaa1c6e31ffa3693c857892,2.0500
Gar08b,On Upper-Confidence Bound Policies for Non-Stationary Bandit Problems,Aurélien Garivier and É. Moulines,2008,2008-05-22,arXiv: Statistics Theory,,,"Multi-armed bandit problems are considered as a paradigm of the trade-off between exploring the environment to find profitable actions and exploiting what is already known. In the stationary case, the distributions of the rewards do not change in time, Upper-Confidence Bound (UCB) policies have been shown to be rate optimal. A challenging variant of the MABP is the non-stationary bandit problem where the gambler must decide which arm to play while facing the possibility of a changing environment. In this paper, we consider the situation where the distributions of rewards remain constant over epochs and change at unknown time instants. We analyze two algorithms: the discounted UCB and the sliding-window UCB. We establish for these two algorithms an upper-bound for the expected regret by upper-bounding the expectation of the number of times a suboptimal arm is played. For that purpose, we derive a Hoeffding type inequality for self normalized deviations with a random number of summands. We establish a lower-bound for the regret in presence of abrupt changes in the arms reward distributions. We show that the discounted UCB and the sliding-window UCB both match the lower-bound up to a logarithmic factor.",329,18,,https://www.semanticscholar.org/paper/6eb7f22b9329ff77d0bdb6d86f35a7b6e62be1e3,1.9000
Ker14,Homeostatic reinforcement learning for integrating reward collection and physiological stability,Mehdi Keramati and B. Gutkin,2014,2014-12-02,eLife,3,,"Efficient regulation of internal homeostasis and defending it against perturbations requires adaptive behavioral strategies. However, the computational principles mediating the interaction between homeostatic and associative learning processes remain undefined. Here we use a definition of primary rewards, as outcomes fulfilling physiological needs, to build a normative theory showing how learning motivated behaviors may be modulated by internal states. Within this framework, we mathematically prove that seeking rewards is equivalent to the fundamental objective of physiological stability, defining the notion of physiological rationality of behavior. We further suggest a formal basis for temporal discounting of rewards by showing that discounting motivates animals to follow the shortest path in the space of physiological variables toward the desired setpoint. We also explain how animals learn to act predictively to preclude prospective homeostatic challenges, and several other behavioral patterns. Finally, we suggest a computational role for interaction between hypothalamus and the brain reward system. DOI: http://dx.doi.org/10.7554/eLife.04811.001",175,15,10.7554/eLife.04811,https://doi.org/10.7554/eLife.04811,1.8500
Guo93b,Performance analysis of the forgetting factor RLS algorithm,"Lei Guo, L. Ljung, and P. Priouret",1993,1993-11-01,International Journal of Adaptive Control and Signal Processing,7,525-537,"An analysis is given of the performance of the standard forgetting factor recursive least squares (RLS) algorithm when used for tracking time-varying linear regression models. Three basic results are obtained: (1) the ‘P-matrix’ in the algorithm remains bounded if and only if the (time-varying) covariance matrix of the regressors is uniformly non-singular; (2) if so, the parameter tracking error covariance matrix is of the order O(μ + γ2/μ), where μ = 1 - λ, λ is the forgetting factor and γ is a quantity reflecting the speed of the parameter variations; (3) this covariance matrix can be arbitrarily well approximated (for small enough μ) by an expression that is easy to compute.",93,2.9,10.1002/ACS.4480070604,https://doi.org/10.1002/ACS.4480070604,1.7500
Yua19,Trading-Off Static and Dynamic Regret in Online Least-Squares and Beyond,Jianjun Yuan and Andrew G. Lamperski,2019,2019-09-06,ArXiv,abs/1909.03118,,"Recursive least-squares algorithms often use forgetting factors as a heuristic to adapt to non-stationary data streams. The first contribution of this paper rigorously characterizes the effect of forgetting factors for a class of online Newton algorithms. For exp-concave and strongly convex objectives, the algorithms achieve the dynamic regret of $\max\{O(\log T),O(\sqrt{TV})\}$, where $V$ is a bound on the path length of the comparison sequence. In particular, we show how classic recursive least-squares with a forgetting factor achieves this dynamic regret bound. By varying $V$, we obtain a trade-off between static and dynamic regret. In order to obtain more computationally efficient algorithms, our second contribution is a novel gradient descent step size rule for strongly convex functions. Our gradient descent rule recovers the order optimal dynamic regret bounds described above. For smooth problems, we can also obtain static regret of $O(T^{1-\beta})$ and dynamic regret of $O(T^\beta V^*)$, where $\beta \in (0,1)$ and $V^*$ is the path length of the sequence of minimizers. By varying $\beta$, we obtain a trade-off between static and dynamic regret.",26,3.9,10.1609/AAAI.V34I04.6149,https://doi.org/10.1609/AAAI.V34I04.6149,1.4500
Rus19b,Weighted Linear Bandits for Non-Stationary Environments,"Yoan Russac, Claire Vernade, and O. Cappé",2019,2019-09-19,Neural Information Processing Systems,,12017-12026,"We consider a stochastic linear bandit model in which the available actions correspond to arbitrary context vectors whose associated rewards follow a non-stationary linear regression model. In this setting, the unknown regression parameter is allowed to vary in time. To address this problem, we propose D-LinUCB, a novel optimistic algorithm based on discounted linear regression, where exponential weights are used to smoothly forget the past. This involves studying the deviations of the sequential weighted least-squares estimator under generic assumptions. As a by-product, we obtain novel deviation results that can be used beyond non-stationary environments. We provide theoretical guarantees on the behavior of D-LinUCB in both slowly-varying and abruptly-changing environments. We obtain an upper bound on the dynamic regret that is of order d B_T^{1/3}T^{2/3}, where B_T is a measure of non-stationarity (d and T being, respectively, dimension and horizon). This rate is known to be optimal. We also illustrate the empirical performance of D-LinUCB and compare it with recently proposed alternatives in simulated environments.",119,18,,https://www.semanticscholar.org/paper/821cb38c5f408e681840b3237093ad0cd33b6aa7,1.3500
Doy10,Stochastic viability and dynamic programming,L. Doyen and M. Lara,2010,2010-02-05,Syst. Control. Lett.,59,629-634,"This paper deals with the stochastic control of nonlinear systems in the presence of state and control constraints, for uncertain discrete-time dynamics in finite dimensional spaces. In the deterministic case, the viability kernel is known to play a basic role for the analysis of such problems and the design of viable control feedbacks. In the present paper, we show how a stochastic viability kernel and viable feedbacks relying on probability (or chance) constraints can be defined and computed by a dynamic programming equation. An example illustrates most of the assertions.",69,4.2,10.1016/j.sysconle.2010.07.008,https://doi.org/10.1016/j.sysconle.2010.07.008,1.3000
Tei12b,Stochastic Safest and Shortest Path Problems,F. Teichteil-Königsbuch,2012,2012-07-22,Proceedings of the AAAI Conference on Artificial Intelligence,,,"'
 
 Optimal solutions to Stochastic Shortest Path Problems (SSPs) usually require that there exists at least one policy that reaches the goal with probability 1 from the initial state. This condition is very strong and prevents from solving many interesting problems, for instance where all possible policies reach some dead-end states with a positive probability. We introduce a more general and richer dual optimization criterion, which minimizes the average (undiscounted) cost of only paths leading to the goal among all policies that maximize the probability to reach the goal. We present policy update equations in the form of dynamic programming for this new dual criterion, which are different from the standard Bellman equations, but produce the same solution if there exists one policy leading to the goal with probability 1 from the initial state. We demonstrate that our equations converge in infinite horizon without any condition on the structure of the problem or on its policies, which actually extends the class of SSPs that can be solved. We experimentally show that our dual criterion provides well-founded solutions to SSPs that can not be solved by the standard criterion, and that using a discount factor with the latter certainly provides solution policies but which are not optimal considering our well-founded criterion.
 
",61,4.4,10.1609/aaai.v26i1.8367,https://doi.org/10.1609/aaai.v26i1.8367,1.2500
Ben87,Design of adaptive algorithms for the tracking of time‐varying systems,A. Benveniste,1987,1987-09-01,International Journal of Adaptive Control and Signal Processing,1,3-29,"Abstract The design of adaptive algorithms for the purpose of the tracking of slowly time varying systems is investigated . A criterion for measuring the tracking capability of an algorithm in this situation was introduced in an earlier work; the domain of vali dity of this criterion is shown to be much wider than expected before. On the other hand, multistep algorithms, introduced in the Soviet literature, are generalized and systematically studied; they are shown to provide significant improvements over the classical (one-step) methods for the purpose of tracking. Finally, a complete design me thodology for adaptive algorithms used on time varying systems is given.",115,3.0,10.1002/ACS.4480010103,https://doi.org/10.1002/ACS.4480010103,1.2200
Lai87,Asymptotically efficient self-tuning regulators,T. Lai and C. Z. Wei,1987,1987-03-01,Siam Journal on Control and Optimization,25,466-481,"This paper studies the problem of adaptive regulation of linear systems with white-noise disturbances. The apparent dilemma between the control objective and the need of information for parameter estimation is resolved by occasional use of white-noise probing inputs and by a reparametrization of the model. Insights into the question concerning how often and when such probing inputs should be introduced are provided by the concept of “asymptotic efficiency,” which quantifies the asymptotically minimal cost due to parameter ignorance, or equivalently, due to the infeasibility of using the optimal regulator that assumes knowledge of the system parameters. Asymptotically efficient adaptive regulators are constructed by making use of certain basic properties of adaptive predictors involving recursive least squares for the reparametrized model.",54,1.4,10.1137/0325026,https://doi.org/10.1137/0325026,1.1800
Tre17c,Efficient solutions for Stochastic Shortest Path Problems with Dead Ends,"Felipe W. Trevizan, F. Teichteil-Königsbuch, and S. Thiébaux",2017,,Conference on Uncertainty in Artificial Intelligence,,,"Many planning problems require maximizing the probability of goal satisfaction as well as minimizing the expected cost to reach the goal. To model and solve such problems, there have been several attempts at extending Stochastic Shortest Path problems (SSPs) to deal with dead ends and optimize a dual optimization criterion. Unfortunately these extensions lack either theoretical robustness or practical efﬁciency. We study a new, perhaps more natural optimization criterion capturing these problems, the Min-Cost given Max-Prob (MCMP) criterion. This criterion leads to the minimum expected cost policy among those with maximum success probability, and accurately accounts for the cost and risk of reaching dead ends. Moreover, it lends itself to efﬁcient solution methods that build on recent heuristic search algorithms for the dual representation of stochastic shortest paths problems. Our experiments show up to one order of magnitude speed-up over the state of the art.",33,3.5,,https://www.semanticscholar.org/paper/9d217059284f4efda99fdff13f5e405364242b9a,1.1500
Mas21b,Safe Value Functions,"P. Massiani, Steve Heim, Friedrich Solowjow, and Sebastian Trimpe",2021,2021-05-25,IEEE Transactions on Automatic Control,68,2743-2757,"Safety constraints and optimality are important but sometimes conflicting criteria for controllers. Although these criteria are often solved separately with different tools to maintain formal guarantees, it is also common practice in reinforcement learning (RL) to simply modify reward functions by penalizing failures, with the penalty treated as a mere heuristic. We rigorously examine the relationship of both safety and optimality to penalties, and formalize sufficient conditions for safe value functions (SVFs): value functions that are both optimal for a given task, and enforce safety constraints. We reveal this structure by examining when rewards preserve viability under optimal control, and show that there always exists a finite penalty that induces an SVF. This penalty is not unique, but upper-unbounded: larger penalties do not harm optimality. Although it is often not possible to compute the minimum required penalty, we reveal clear structure of how the penalty, rewards, discount factor, and dynamics interact. This insight suggests practical, theory-guided heuristics to design reward functions for control problems where safety is important.",20,4.0,10.1109/TAC.2022.3200948,https://doi.org/10.1109/TAC.2022.3200948,1.1000
Jac24,Online Linear Regression in Dynamic Environments via Discounting,A. Jacobsen and Ashok Cutkosky,2024,2024-05-29,International Conference on Machine Learning,,21083-21120,"We develop algorithms for online linear regression which achieve optimal static and dynamic regret guarantees \emph{even in the complete absence of prior knowledge}. We present a novel analysis showing that a discounted variant of the Vovk-Azoury-Warmuth forecaster achieves dynamic regret of the form $R_{T}(\vec{u})\le O\left(d\log(T)\vee \sqrt{dP_{T}^{\gamma}(\vec{u})T}\right)$, where $P_{T}^{\gamma}(\vec{u})$ is a measure of variability of the comparator sequence, and show that the discount factor achieving this result can be learned on-the-fly. We show that this result is optimal by providing a matching lower bound. We also extend our results to \emph{strongly-adaptive} guarantees which hold over every sub-interval $[a,b]\subseteq[1,T]$ simultaneously.",15,7.6,10.48550/arXiv.2405.19175,https://doi.org/10.48550/arXiv.2405.19175,1.0900
Deo20,A randomized relaxation method to ensure feasibility in stochastic control of linear systems subject to state and input constraints,"Luca Deori, S. Garatti, and M. Prandini",2020,2020-05-01,Autom.,115,108854,"Abstract We consider a linear system affected by an additive stochastic disturbance and address the design of a finite horizon control policy that is optimal according to some cost criterion and accounts also for probabilistic constraints on both the input and state variables. The resulting policy can be implemented over a receding horizon according to the model predictive control strategy. Such a possibility, however, is hampered by the fact that a feasibility issue may arise when recomputing the policy. Infeasibility indeed can occur if the disturbance has unbounded support and the state is required to remain in a bounded set. In this paper, we propose a solution to this issue that is based on the introduction of a constraint relaxation that becomes effective only when the original problem turns out to be unfeasible. This is obtained via a cascade of two probabilistically-constrained optimization problems where, in the first one, performance is neglected and the policy is designed to fully recover feasibility or – if this is not possible – to determine the minimum level of relaxation which is needed to recover feasibility; in the second step, such a minimum relaxation level is imposed while optimally (re-)tuning the control policy parameters. Both problems are solved through a computationally tractable scenario-based scheme using a finite number of disturbance realizations and providing an approximate solution that satisfies with high confidence the original probabilistic constraints of the cascade.",3,0.5,10.1016/j.automatica.2020.108854,https://doi.org/10.1016/j.automatica.2020.108854,1.0800
