Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Sho80,Axiomatic derivation of the principle of maximum entropy and the principle of minimum cross-entropy,J. Shore and Rodney W. Johnson,1980,,IEEE Trans. Inf. Theory,26,26-37,"Jaynes's principle of maximum entropy and Kullbacks principle of minimum cross-entropy (minimum directed divergence) are shown to be uniquely correct methods for inductive inference when new information is given in the form of expected values. Previous justifications use intuitive arguments and rely on the properties of entropy and cross-entropy as information measures. The approach here assumes that reasonable methods of inductive inference should lead to consistent results when there are different ways of taking the same information into account (for example, in different coordinate system). This requirement is formalized as four consistency axioms. These are stated in terms of an abstract information operator and make no reference to information measures. It is proved that the principle of maximum entropy is correct in the following sense: maximizing any function but entropy will lead to inconsistency unless that function and entropy have identical maxima. In other words given information in the form of constraints on expected values, there is only one (distribution satisfying the constraints that can be chosen by a procedure that satisfies the consistency axioms; this unique distribution can be obtained by maximizing entropy. This result is established both directly and as a special case (uniform priors) of an analogous result for the principle of minimum cross-entropy. Results are obtained both for continuous probability densities and for discrete distributions.",1844,40,10.1109/TIT.1980.1056144,https://doi.org/10.1109/TIT.1980.1056144,2.5500
Cat06,Updating Probabilities,A. Caticha and A. Giffin,2006,2006-08-17,ArXiv,abs/physics/0608185,,"We show that Skilling's method of induction leads to a unique general theory of inductive inference, the method of Maximum relative Entropy (ME). The main tool for updating probabilities is the logarithmic relative entropy; other entropies such as those of Renyi or Tsallis are ruled out. We also show that Bayes updating is a special case of ME updating and thus, that the two are completely compatible.",55,2.8,10.1063/1.2423258,https://doi.org/10.1063/1.2423258,2.0500
Ski88,The Axioms of Maximum Entropy,J. Skilling,1988,,,,173-187,,232,6.1,10.1007/978-94-009-3049-0_8,https://doi.org/10.1007/978-94-009-3049-0_8,1.7500
Knu10,Foundations of Inference,K. Knuth and J. Skilling,2010,2010-08-27,Axioms,1,38-73,"We present a simple and clear foundation for finite inference that unites and significantly extends the approaches of Kolmogorov and Cox. Our approach is based on quantifying lattices of logical statements in a way that satisfies general lattice symmetries. With other applications such as measure theory in mind, our derivations assume minimal symmetries, relying on neither negation nor continuity nor differentiability. Each relevant symmetry corresponds to an axiom of quantification, and these axioms are used to derive a unique set of quantifying rules that form the familiar probability calculus. We also derive a unique quantification of divergence, entropy and information.",63,4.0,10.3390/axioms1010038,https://doi.org/10.3390/axioms1010038,1.6300
Gru04,"Game theory, maximum entropy, minimum discrepancy and robust Bayesian decision theory",P. Grünwald and A. P. Dawid,2004,2004-08-01,Annals of Statistics,32,1367-1433,"We describe and develop a close relationship between two problems that have customarily been regarded as distinct: that of maximizing entropy, and that of minimizing worst-case expected loss. Using a formulation grounded in the equilibrium theory of zero-sum games between Decision Maker and Nature, these two problems are shown to be dual to each other, the solution to each providing that to the other. Although Topsoe described this connection for the Shannon entropy over 20 years ago, it does not appear to be widely known even in that important special case. We here generalize this theory to apply to arbitrary decision problems and loss functions. We indicate how an appropriate generalized definition of entropy can be associated with such a problem, and we show that, subject to certain regularity conditions, the above-mentioned duality continues to apply in this extended context. This simultaneously provides a possible rationale for maximizing entropy and a tool for finding robust Bayes acts. We also describe the essential identity between the problem of maximizing entropy and that of minimizing a related discrepancy or divergence between distributions. This leads to an extension, to arbitrary discrepancies, of a well-known minimax theorem for the case of Kullback-Leibler divergence (the redundancy-capacity theorem of information theory). For the important case of families of distributions having certain mean values specified, we develop simple sufficient conditions and methods for identifying the desired solutions. We use this theory to introduce a new concept of generalized exponential family linked to the specific decision problem under consideration, and we demonstrate that this shares many of the properties of standard exponential families. Finally, we show that the existence of an equilibrium in our game can be rephrased in terms of a Pythagorean property of the related divergence, thus generalizing previously announced results for Kullback-Leibler and Bregman divergences.",552,25,10.1214/009053604000000553,https://doi.org/10.1214/009053604000000553,1.5500
Daw06,The Geometry of Decision Theory,P. Dawid and S. Lauritzen,2006,,,,,"A decision problem is defined in terms of an outcome space, an action space and a loss function. Starting from these simple ingredients, we can construct: Proper Scoring Rule; Entropy Function; Divergence Function; Riemannian Metric; and Unbiased Estimating Equation. We illustrate these for the case of a Riemannian outcome space. From an abstract viewpoint, the loss function defines a duality between the outcome and action spaces, while the correspondence between a distribution and its Bayes act induces a self-duality. Together these determine a “decision geometry” for the family of distributions on outcome space. This allows generalisation of many standard statistical concepts and properties. In particular we define and study generalised exponential families.",44,2.2,,https://www.semanticscholar.org/paper/8da8e58ca88b429c0a5977f9dd34ea4a93baabed,1.4500
Ama10b,Information geometry of divergence functions,S. Amari and A. Cichocki,2010,2010-03-01,Bulletin of The Polish Academy of Sciences-technical Sciences,58,183-195,"Measures of divergence between two points play a key role in many engineering problems. One such measure is a distance function, but there are many important measures which do not satisfy the properties of the distance. The Bregman divergence, KullbackLeibler divergence and f -divergence are such measures. In the present article, we study the differential-geometrical structure of a manifold induced by a divergence function. It consists of a Riemannian metric, and a pair of dually coupled affine connections, which are studied in information geometry. The class of Bregman divergences are characterized by a dually flat structure, which is originated from the Legendre duality. A dually flat space admits a generalized Pythagorean theorem. The class of f -divergences, defined on a manifold of probability distributions, is characterized by information monotonicity, and the Kullback-Leibler divergence belongs to the intersection of both classes. The f -divergence always gives the α-geometry, which consists of the Fisher information metric and a dual pair of ±α-connections. The α-divergence is a special class of f -divergences. This is unique, sitting at the intersection of the f -divergence and Bregman divergence classes in a manifold of positive measures. The geometry derived from the Tsallis q-entropy and related divergences are also addressed.",185,11,10.2478/V10175-010-0019-1,https://doi.org/10.2478/V10175-010-0019-1,1.3300
Ay12,Information geometry and sufficient statistics,"N. Ay, J. Jost, H. Lê, and Lorenz Schwachhöfer",2012,2012-07-28,Probability Theory and Related Fields,162,327 - 364,"Information geometry provides a geometric approach to families of statistical models. The key geometric structures are the Fisher quadratic form and the Amari–Chentsov tensor. In statistics, the notion of sufficient statistic expresses the criterion for passing from one model to another without loss of information. This leads to the question how the geometric structures behave under such sufficient statistics. While this is well studied in the finite sample size case, in the infinite case, we encounter technical problems concerning the appropriate topologies. Here, we introduce notions of parametrized measure models and tensor fields on them that exhibit the right behavior under statistical transformations. Within this framework, we can then handle the topological issues and show that the Fisher metric and the Amari–Chentsov tensor on statistical models in the class of symmetric 2-tensor fields and 3-tensor fields can be uniquely (up to a constant) characterized by their invariance under sufficient statistics, thereby achieving a full generalization of the original result of Chentsov to infinite sample sizes. More generally, we decompose Markov morphisms between statistical models in terms of statistics. In particular, a monotonicity result for the Fisher information naturally follows.",107,7.7,10.1007/s00440-014-0574-8,https://doi.org/10.1007/s00440-014-0574-8,1.2800
Csi91,Why least squares and maximum entropy? An axiomatic approach to inference for linear inverse problems,I. Csiszár,1991,1991-12-01,Annals of Statistics,19,2032-2066,,864,25,10.1214/AOS/1176348385,https://doi.org/10.1214/AOS/1176348385,1.2700
Ama09,"$\alpha$ -Divergence Is Unique, Belonging to Both  $f$-Divergence and Bregman Divergence Classes",S. Amari,2009,2009-11-01,IEEE Transactions on Information Theory,55,4925-4931,,198,12,10.1109/TIT.2009.2030485,https://doi.org/10.1109/TIT.2009.2030485,1.2200
