Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Tat04b,Control under communication constraints,S. Tatikonda and S. Mitter,2004,2004-07-12,IEEE Transactions on Automatic Control,49,1056-1068,,1745,80,10.1109/TAC.2004.831187,https://doi.org/10.1109/TAC.2004.831187,2.2000
Sah06,The Necessity and Sufficiency of Anytime Capacity for Stabilization of a Linear System Over a Noisy Communication Link—Part I: Scalar Systems,Anant Sahai and S. Mitter,2006,2006-01-04,IEEE Transactions on Information Theory,52,3369-3395,"In this paper, we review how Shannon's classical notion of capacity is not enough to characterize a noisy communication channel if the channel is intended to be used as part of a feedback loop to stabilize an unstable scalar linear system. While classical capacity is not enough, another sense of capacity (parametrized by reliability) called ""anytime capacity"" is necessary for the stabilization of an unstable process. The required rate is given by the log of the unstable system gain and the required reliability comes from the sense of stability desired. A consequence of this necessity result is a sequential generalization of the Schalkwijk-Kailath scheme for communication over the additive white Gaussian noise (AWGN) channel with feedback. In cases of sufficiently rich information patterns between the encoder and decoder, adequate anytime capacity is also shown to be sufficient for there to exist a stabilizing controller. These sufficiency results are then generalized to cases with noisy observations, delayed control actions, and without any explicit feedback between the observer and the controller. Both necessary and sufficient conditions are extended to continuous time systems as well. We close with comments discussing a hierarchy of difficulty for communication problems and how these results establish where stabilization problems sit in that hierarchy",432,21,10.1109/TIT.2006.878169,https://doi.org/10.1109/TIT.2006.878169,2.0000
Nai04,Stabilizability of Stochastic Linear Systems with Finite Feedback Data Rates,G. Nair and R. Evans,2004,2004-02-01,SIAM J. Control. Optim.,43,413-436,"Feedback control with limited data rates is an emerging area which incorporates ideas from both control and information theory. A fundamental question it poses is how low the closed-loop data rate can be made before a given dynamical system is impossible to stabilize by any coding and control law. Analogously to source coding, this defines the smallest error-free data rate sufficient to achieve ""reliable"" control, and explicit expressions for it have been derived for linear time-invariant systems without disturbances. In this paper, the more general case of finite-dimensional linear systems with process and observation noise is considered, the object being mean square state stability. By inductive arguments employing the entropy power inequality of information theory, and a new quantizer error bound, an explicit expression for the infimum stabilizing data rate is derived, under very mild conditions on the initial state and noise probability distributions.",753,34,10.1137/S0363012902402116,https://doi.org/10.1137/S0363012902402116,1.7000
Won99,Systems with finite communication bandwidth constraints. II. Stabilization with limited information feedback,W. Wong and R. Brockett,1999,1999-05-01,IEEE Trans. Autom. Control.,44,1049-1053,"For part I, see ibid., vol.42, p.1294-8, 1997. In this paper a new class of feedback control problems is introduced. Unlike classical models, the systems considered here have communication channel constraints. As a result, the issue of coding and communication protocol becomes an integral part of the analysis. Since these systems cannot be asymptotically stabilized if the underlying dynamics are unstable, a weaker stability concept called containability is introduced. A key result connects containability with an inequality equation involving the communication data rate and the rate of change of the state.",930,34,10.1109/9.763226,https://doi.org/10.1109/9.763226,1.6000
Min09,Data Rate Theorem for Stabilization Over Time-Varying Feedback Channels,"Paolo Minero, M. Franceschetti, S. Dey, and G. Nair",2009,2009-02-10,IEEE Transactions on Automatic Control,54,243-255,,224,13,10.1109/TAC.2008.2010887,https://doi.org/10.1109/TAC.2008.2010887,1.5000
Yuk12,Characterization of Information Channels for Asymptotic Mean Stationarity and Stochastic Stability of Nonstationary/Unstable Linear Systems,S. Yüksel,2012,2012-01-25,IEEE Transactions on Information Theory,58,6332-6354,"Stabilization of nonstationary linear systems over noisy communication channels is considered. Stochastically stable sources, and unstable but noise-free or bounded-noise systems have been extensively studied in the information theory and control theory literature since the 1970s, with a renewed interest in the past decade. There have also been studies on noncausal and causal coding of unstable/nonstationary linear Gaussian sources. In this paper, tight necessary and sufficient conditions for stochastic stabilizability of unstable (nonstationary) possibly multidimensional linear systems driven by Gaussian noise over discrete channels (possibly with memory and feedback) are presented. Stochastic stability notions include recurrence, asymptotic mean stationarity and sample path ergodicity, and the existence of finite second moments. Our constructive proof uses random-time state-dependent stochastic drift criteria for stabilization of Markov chains. For asymptotic mean stationarity (and thus sample path ergodicity), it is sufficient that the capacity of a channel is (strictly) greater than the sum of the logarithms of the unstable pole magnitudes for memoryless channels and a class of channels with memory. This condition is also necessary under a mild technical condition. Sufficient conditions for the existence of finite average second moments for such systems driven by unbounded noise are provided.",37,2.6,10.1109/TIT.2012.2204033,https://doi.org/10.1109/TIT.2012.2204033,1.4500
Zam66,On the input-output stability of time-varying nonlinear feedback systems--Part II: Conditions involving circles in the frequency plane and sector nonlinearities,G. Zames,1966,1966-07-01,IEEE Transactions on Automatic Control,11,465-476,"The object of this paper is to outline a stability theory based on functional methods. Part I of the paper was devoted to a general feedback configuration. Part II is devoted to a feedback system consisting of two elements, one of which is linear time-invariant, and the other nonlinear. An attempt is made to unify several stability conditions, including Popov's condition, into a single principle. This principle is based on the concepts of conicity and positivity, and provides a link with the notions of gain and phase shift of the linear theory. Part II draws on the (generalized) notion of a ""sector non-linearity."" A nonlinearity N is said to be INSIDE THE SECTOR {\alpha,\beta} if it satisfies an inequality of the type \langle(Nx-\alphax)_{t}, (Nx-\betax)_{t}\rangle\leq0 . If N is memoryless and is characterized by a graph in the plane, then this simply means that the graph lies inside a sector of the plane. However, the preceding definition extends the concept to include nonlinearities with memory. There are two main results. The first result, the CIRCLE THEOREM, asserts in part that: If the nonlinearity is inside a sector {\alpha, \beta} , and if the frequency response of the linear element avoids a ""critical region"" in the complex plane, then the closed loop is bounded; if \alpha > 0 then the critical region is a disk whose center is halfway between the points -1/\alpha and -1/\beta , and whose diameter is greater than the distance between these points. The second result is a method for taking into account the detailed properties of the nonlinearity to get improved stability conditions. This method involves the removal of a ""multiplier"" from the linear element. The frequency response of the linear element is modified by the removal, and, in effect, the size of the critical region is reduced. Several conditions, including Popov's condition, are derived by this method, under various restrictions on the nonlinearity N ; the following cases are treated: (i) N is instantaneously inside a sector {\alpha, \beta} . (ii) N satisfies (i) and is memoryless and time-invariant. (iii) N satisfies (ii) and has a restricted slope.",625,10,10.1109/TAC.1966.1098356,https://doi.org/10.1109/TAC.1966.1098356,1.4400
Mar08,Feedback Control in the Presence of Noisy Channels: “Bode-Like” Fundamental Limitations of Performance,N. C. Martins and M. Dahleh,2008,2008-09-09,IEEE Transactions on Automatic Control,53,1604-1615,,273,15,10.1109/TAC.2008.929361,https://doi.org/10.1109/TAC.2008.929361,1.4000
Bro00,Quantized feedback stabilization of linear systems,R. Brockett and D. Liberzon,2000,2000-07-01,IEEE Trans. Autom. Control.,45,1279-1289,"This paper addresses feedback stabilization problems for linear time-invariant control systems with saturating quantized measurements. We propose a new control design methodology, which relies on the possibility of changing the sensitivity of the quantizer while the system evolves. The equation that describes the evolution of the sensitivity with time (discrete rather than continuous in most cases) is interconnected with the given system (either continuous or discrete), resulting in a hybrid system. When applied to systems that are stabilizable by linear time-invariant feedback, this approach yields global asymptotic stability.",1678,65,10.1109/9.867021,https://doi.org/10.1109/9.867021,1.3500
Eli01,Stabilization of linear systems with limited information,N. Elia and S. Mitter,2001,2001-09-01,IEEE Trans. Autom. Control.,46,1384-1400,"We show that the coarsest, or least dense, quantizer that quadratically stabilizes a single input linear discrete time invariant system is logarithmic, and can be computed by solving a special linear quadratic regulator problem. We provide a closed form for the optimal logarithmic base exclusively in terms of the unstable eigenvalues of the system. We show how to design quantized state-feedback controllers, and quantized state estimators. This leads to the design of hybrid output feedback controllers. The theory is then extended to sampling and quantization of continuous time linear systems sampled at constant time intervals. We generalize the definition of density of quantization to the density of sampling and quantization in a natural way, and search for the coarsest sampling and quantization scheme that ensures stability. Finally, by relaxing the definition of quadratic stability, we show how to construct logarithmic quantizers with only finite number of quantization levels and still achieve practical stability of the closed-loop system.",1817,74,10.1109/9.948466,https://doi.org/10.1109/9.948466,1.3000
