Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Mar16f,Death and Suicide in Universal Artificial Intelligence,"Jarryd Martin, Tom Everitt, and Marcus Hutter",2016,2016-06-02,ArXiv,abs/1606.00652,,"Reinforcement learning (RL) is a general paradigm for studying intelligent behaviour, with applications ranging from artificial intelligence to psychology and economics. AIXI is a universal solution to the RL problem; it can learn any computable environment. A technical subtlety of AIXI is that it is defined using a mixture over semimeasures that need not sum to 1, rather than over proper probability measures. In this work we argue that the shortfall of a semimeasure can naturally be interpreted as the agent’s estimate of the probability of its death. We formally define death for generally intelligent agents like AIXI, and prove a number of related theorems about their behaviour. Notable discoveries include that agent behaviour can change radically under positive linear transformations of the reward signal (from suicidal to dogmatically self-preserving), and that the agent’s posterior belief that it will survive increases over time.",25,2.5,10.1007/978-3-319-41649-6_3,https://doi.org/10.1007/978-3-319-41649-6_3,1.8500
Ors11c,Self-Modification and Mortality in Artificial Agents,Laurent Orseau and Mark B. Ring,2011,2011-08-03,Artificial General Intelligence,,1-10,,57,3.9,10.1007/978-3-642-22887-2_1,https://doi.org/10.1007/978-3-642-22887-2_1,1.6000
Ors11,Self-Modi cation and Mortality in Arti cial Agents,Laurent Orseau and Mark B. Ring,2011,,,,,"3 This paper considers the consequences of endowing an intelligent agent with the ability to modify its own code. The intelligent agent is patterned closely after AIXI with these speci c assumptions: 1) the utility function is an integrated part of the agent's code, and 2) the environment has read-only access to the agent's code. On the basis of some simple modi cations to the utility and horizon functions, we are able to discuss and compare some very di erent kinds of agents, specifically: reinforcement-learning, goal-seeking, predictive, and knowledgeseeking agents. In particular, we introduce what we call the Simpleton Gambit which allows us to discuss whether these agents would choose to modify themselves toward their own detriment.",18,1.2,,https://www.semanticscholar.org/paper/8543418d4c1cbfff58c057c87a8925eb81f200e0,1.4500
Tho24b,The shutdown problem: an AI engineering puzzle for decision theorists,Elliott Thornley,2024,2024-03-07,Philosophical Studies,182,1653 - 1680,"I explain and motivate the shutdown problem: the problem of designing artificial agents that (1) shut down when a shutdown button is pressed, (2) don’t try to prevent or cause the pressing of the shutdown button, and (3) otherwise pursue goals competently. I prove three theorems that make the difficulty precise. These theorems suggest that agents satisfying some innocuous-seeming conditions will often try to prevent or cause the pressing of the shutdown button, even in cases where it’s costly to do so. I end by noting that these theorems can guide our search for solutions to the problem.",22,10.0,10.1007/s11098-024-02153-3,https://doi.org/10.1007/s11098-024-02153-3,1.3300
Soa15,Corrigibility,"Nate Soares, Benja Fallenstein, S. Armstrong, and Eliezer Yudkowsky",2015,,AI and Ethics,,,"As artiﬁcially intelligent systems grow in intelligence and capability, some of their available options may allow them to resist intervention by their programmers. We call an AI sys-tem “corrigible” if it cooperates with what its creators regard as a corrective intervention, despite default incentives for rational agents to resist attempts to shut them down or modify their preferences. We introduce the notion of corrigibility and analyze utility functions that attempt to make an agent shut down safely if a shutdown button is pressed, while avoiding incentives to prevent the button from being pressed or cause the button to be pressed, and while ensuring propagation of the shutdown behavior as it creates new subsystems or self-modiﬁes. While some proposals are interesting, none have yet been demonstrated to satisfy all of our intuitive desider-ata, leaving this simple problem in corrigibility wide-open.",164,14,,https://www.semanticscholar.org/paper/5be2ab6ca8675c9b5aa765cc6803f3b056eed233,1.2700
Had16,The Off-Switch Game,"Dylan Hadfield-Menell, A. Dragan, P. Abbeel, and Stuart J. Russell",2016,2016-11-24,ArXiv,abs/1611.08219,,"It is clear that one of the primary tools we can use to mitigate the potential risk from a misbehaving AI system is the ability to turn the system off. As the capabilities of AI systems improve, it is important to ensure that such systems do not adopt subgoals that prevent a human from switching them off. This is a challenge because many formulations of rational agents create strong incentives for self-preservation. This is not caused by a built-in instinct, but because a rational agent will maximize expected utility and cannot achieve whatever objective it has been given if it is dead. Our goal is to study the incentives an agent has to allow itself to be switched off. We analyze a simple game between a human H and a robot R, where H can press R's off switch but R can disable the off switch. A traditional agent takes its reward function for granted: we show that such agents have an incentive to disable the off switch, except in the special case where H is perfectly rational. Our key insight is that for R to want to preserve its off switch, it needs to be uncertain about the utility associated with the outcome, and to treat H's actions as important observations about that utility. (R also has no incentive to switch itself off in this setting.) We conclude that giving machines an appropriate level of uncertainty about their objectives leads to safer designs, and we argue that this setting is a useful generalization of the classical AI paradigm of rational agents.",191,20,10.24963/ijcai.2017/32,https://doi.org/10.24963/ijcai.2017/32,1.2200
Ors16,Safely Interruptible Agents,Laurent Orseau and S. Armstrong,2016,2016-06-25,Conference on Uncertainty in Artificial Intelligence,,557-566,"Reinforcement learning agents interacting with a complex environment like the real world are unlikely to behave optimally all the time. If such an agent is operating in real-time under human supervision, now and then it may be necessary for a human operator to press the big red button to prevent the agent from continuing a harmful sequence of actions—harmful either for the agent or for the environment—and lead the agent into a safer situation. However, if the learning agent expects to receive rewards from this sequence, it may learn in the long run to avoid such interruptions, for example by disabling the red button— which is an undesirable outcome. This paper explores a way to make sure a learning agent will not learn to prevent (or seek!) being interrupted by the environment or a human operator. We provide a formal definition of safe interruptibility and exploit the off-policy learning property to prove that either some agents are already safely interruptible, like Q-learning, or can easily be made so, like Sarsa. We show that even ideal, uncomputable reinforcement learning agents for (deterministic) general computable environments can be made safely interruptible.",140,14,,https://www.semanticscholar.org/paper/ac70bb2458f01a9e47fc1afe0dd478fb2feb8f50,1.1200
Rin11,"Delusion, Survival, and Intelligent Agents",Mark B. Ring and Laurent Orseau,2011,2011-08-03,Artificial General Intelligence,,11-20,,82,5.5,10.1007/978-3-642-22887-2_2,https://doi.org/10.1007/978-3-642-22887-2_2,1.1000
Car23,Human Control: Definitions and Algorithms,Ryan Carey and Tom Everitt,2023,2023-05-31,ArXiv,abs/2305.19861,,"How can humans stay in control of advanced artificial intelligence systems? One proposal is corrigibility, which requires the agent to follow the instructions of a human overseer, without inappropriately influencing them. In this paper, we formally define a variant of corrigibility called shutdown instructability, and show that it implies appropriate shutdown behavior, retention of human autonomy, and avoidance of user harm. We also analyse the related concepts of non-obstruction and shutdown alignment, three previously proposed algorithms for human control, and one new algorithm.",14,4.7,10.48550/arXiv.2305.19861,https://doi.org/10.48550/arXiv.2305.19861,1.0600
Nay25,Core Safety Values for Provably Corrigible Agents,Aran Nayebi,2025,2025-07-28,ArXiv,abs/2507.20964,,"We introduce the first complete formal solution to corrigibility in the off-switch game, with provable guarantees in multi-step, partially observed environments. Our framework consists of five *structurally separate* utility heads -- deference, switch-access preservation, truthfulness, low-impact behavior via a belief-based extension of Attainable Utility Preservation, and bounded task reward -- combined lexicographically by strict weight gaps. Theorem 1 proves exact single-round corrigibility in the partially observable off-switch game; Theorem 3 extends the guarantee to multi-step, self-spawning agents, showing that even if each head is *learned* to mean-squared error $\varepsilon$ and the planner is $\varepsilon$-sub-optimal, the probability of violating *any* safety property is bounded while still ensuring net human benefit. In contrast to Constitutional AI or RLHF/RLAIF, which merge all norms into one learned scalar, our separation makes obedience and impact-limits provably dominate even when incentives conflict. For settings where adversaries can modify the agent, we prove that deciding whether an arbitrary post-hack agent will ever violate corrigibility is undecidable by reduction to the halting problem, then carve out a finite-horizon""decidable island""where safety can be certified in randomized polynomial time and verified with privacy-preserving, constant-round zero-knowledge proofs.",4,4.9,10.48550/arXiv.2507.20964,https://doi.org/10.48550/arXiv.2507.20964,1.0200
