Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Shp08,Complete Identification Methods for the Causal Hierarchy,I. Shpitser and J. Pearl,2008,2008-06-01,J. Mach. Learn. Res.,9,1941-1979,"We consider a hierarchy of queries about causal relationships in graphical models, where each level in the hierarchy requires more detailed information than the one below. The hierarchy consists of three levels: associative relationships, derived from a joint distribution over the observable variables; cause-effect relationships, derived from distributions resulting from external interventions; and counterfactuals, derived from distributions that span multiple “parallel worlds” and resulting from simultaneous, possibly conflicting observations and interventions. We completely characterize cases where a given causal query can be computed from information lower in the hierarchy, and provide algorithms that accomplish this computation. Specifically, we show when effects of interventions can be computed from observational studies, and when probabilities of counterfactuals can be computed from experimental studies. We also provide a graphical characterization of those queries which cannot be computed (by any method) from queries at a lower layer of the hierarchy.",278,15,10.5555/1390681.1442797,https://doi.org/10.5555/1390681.1442797,2.8500
Cau00,"Causality : Models , Reasoning , and Inference",,,,,,,"the methodological community a major statement on causal inquiry. His account of the philosophy and history of causal analysis is a joy to read, especially his spirited 28-page epilogue, "" The Art and Science of Cause and Effect. "" The heart of Pearl's Causality is the set of ideas that he and his colleagues in computer science have developed over the past 20 years. They comprise a unified methodology for the graphical representation of joint probability distributions along with rules for inferring causality directly from such graphical representations. Reading Causality, however, feels a bit (I would imagine) like going for a hike in a rain forest with Judea Pearl as your guide. Initially, one's excitement is aroused by first contact with his causal flora and then further enchanted by his claims of all that lies ahead. But, before long, one is so deeply enveloped in his graphical vegetation that fear of ever finding a way out begins to take over. As I write this review, I must admit that I am still circling about in the counterfactual mangroves of Chapters 7 through 10. Nonetheless, I have come to a recommendation: Anyone who intends to teach causality in graduate methodology classes should read this book. Anyone who does not should avoid it, at least until the rest of us figure out which of its many ideas are unique and lasting contributions to causal analysis. That is to say, from the perspective of a sociologist, the work as a whole is a memorable tour de force, which succeeds admirably in provoking deep thoughts about (1) what social scientists can and should do with available observational data and (2) what sorts of theories and data sources we should be attempting to cultivate. But it is unclear which of Pearl's specific ideas should or",12281,12281,10.5860/choice.47-3771,https://doi.org/10.5860/choice.47-3771,2.4000
Pea95d,Causal diagrams for empirical research,J. Pearl,1995,1995-12-01,Biometrika,82,669-688,"SUMMARY The primary aim of this paper is to show how graphical models can be used as a mathematical language for integrating statistical and subject-matter information. In particular, the paper develops a principled, nonparametric framework for causal inference, in which diagrams are queried to determine if the assumptions available are sufficient for identifying causal effects from nonexperimental data. If so the diagrams can be queried to produce mathematical expressions for causal effects in terms of observed distributions; otherwise, the diagrams can be queried to suggest additional observations or auxiliary experiments from which the desired inferences can be obtained.",2765,91,10.1093/BIOMET/82.4.669,https://doi.org/10.1093/BIOMET/82.4.669,2.2500
Lee19b,General Identifiability with Arbitrary Surrogate Experiments,"Sanghack Lee, Juan David Correa, and E. Bareinboim",2019,,Conference on Uncertainty in Artificial Intelligence,,389-398,"We study the problem of causal identification from an arbitrary collection of observational and experimental distributions, and substantive knowledge about the phenomenon under in-vestigation, which usually comes in the form of a causal graph. We call this problem g-identifiability , or gID for short. The gID setting encompasses two well-known problems in causal inference, namely, identifiability [Pearl, 1995] and z-identifiability [Bareinboim and Pearl, 2012] — the former assumes that an observational distribution is necessarily available, and no experiments can be performed, conditions that are both relaxed in the gID setting; the latter assumes that all combinations of experiments are available, i.e., the power set of the experimental set Z , which gID does not require a priori. In this paper, we introduce a general strategy to prove non-gID based on hedgelets and thickets , which leads to a necessary and sufficient graphical condition for the corresponding decision problem. We further develop a procedure for systematically computing the target effect, and prove that it is sound and complete for gID instances. In other words, failure of the algorithm in returning an expression implies that the target effect is not computable from the available distributions. Finally, as a corollary of these results, we show that do-calculus is complete for the task of g-identifiability.",89,12,,https://www.semanticscholar.org/paper/952e5c4e103dbdf133fcd081745883599cdd211e,2.0500
Lee20h,General Transportability - Synthesizing Observations and Experiments from Heterogeneous Domains,"Sanghack Lee, Juan David Correa, and E. Bareinboim",2020,2020-04-03,AAAI Conference on Artificial Intelligence,,10210-10217,"The process of transporting and synthesizing experimental findings from heterogeneous data collections to construct causal explanations is arguably one of the most central and challenging problems in modern data science. This problem has been studied in the causal inference literature under the rubric of causal effect identifiability and transportability (Bareinboim and Pearl 2016). In this paper, we investigate a general version of this challenge where the goal is to learn conditional causal effects from an arbitrary combination of datasets collected under different conditions, observational or experimental, and from heterogeneous populations. Specifically, we introduce a unified graphical criterion that characterizes the conditions under which conditional causal effects can be uniquely determined from the disparate data collections. We further develop an efficient, sound, and complete algorithm that outputs an expression for the conditional effect whenever it exists, which synthesizes the available causal knowledge and empirical evidence; if the algorithm is unable to find a formula, then such synthesis is provably impossible, unless further parametric assumptions are made. Finally, we prove that do-calculus (Pearl 1995) is complete for this task, i.e., the inexistence of a do-calculus derivation implies the impossibility of constructing the targeted causal explanation.",21,3.4,10.1609/aaai.v34i06.6582,https://doi.org/10.1609/aaai.v34i06.6582,1.7500
Bar12b,Causal Inference by Surrogate Experiments: z-Identifiability,E. Bareinboim and J. Pearl,2012,2012-08-14,Conference on Uncertainty in Artificial Intelligence,,113-120,"We address the problem of estimating the effect of intervening on a set of variables X from experiments on a different set, Z, that is more accessible to manipulation. This problem, which we call z-identifiability, reduces to ordinary identifiability when Z = empty and, like the latter, can be given syntactic characterization using the do-calculus [Pearl, 1995; 2000]. We provide a graphical necessary and sufficient condition for z-identifiability for arbitrary sets X,Z, and Y (the outcomes). We further develop a complete algorithm for computing the causal effect of X on Y using information provided by experiments on Z. Finally, we use our results to prove completeness of do-calculus relative to z-identifiability, a result that does not follow from completeness relative to ordinary identifiability.",120,8.7,,https://www.semanticscholar.org/paper/89837e2c196bdc78ea5359e5e81e67060cdfcdc1,1.6200
Lee19c,Generalized Transportability:Synthesis of Experiments from Heterogeneous Domains,"Sanghack Lee, Juan David Correa, and E. Bareinboim",2019,,,,,"The process of transporting and synthesizing experimental findings from heterogeneous data-collections is central in the empirical sciences. In the causal inference literature, this appears under the rubrics of causal effect identifiability (Pearl 1995) and transportability (Pearl and Bareinboim 2011). In this paper, we generalize these settings and investigate the problem of learning conditional causal effects from an arbitrary combination of observational and experimental distributions collected under different conditions and from heterogeneous domains. Specifically, we introduce a unified graphical criterion that completely characterizes the conditions under which conditional causal effects can be uniquely determined from disparate data collections. Further, we develop an efficient, sound, and complete algorithm that outputs an expression for the conditional effect whenever it exists, which synthesizes available causal knowledge; if the algorithm aborts deriving a formula, then such synthesis is provably impossible, unless further parametric assumptions are made. Finally, we prove that Pearl’s do-calculus is complete for this task.",33,4.5,,https://www.semanticscholar.org/paper/c65197097e296b38d3b938b7615837c9d70de7bf,1.5800
Bar16b,Causal inference and the data-fusion problem,E. Bareinboim and J. Pearl,2016,2016-07-05,Proceedings of the National Academy of Sciences,113,7345 - 7352,,722,73,10.1073/pnas.1510507113,https://doi.org/10.1073/pnas.1510507113,1.5500
Shp06b,Identification of Joint Interventional Distributions in Recursive Semi-Markovian Causal Models,I. Shpitser and J. Pearl,2006,2006-07-01,AAAI Conference on Artificial Intelligence,,1219-1226,"This paper is concerned with estimating the effects of actions from causal assumptions, represented concisely as a directed graph, and statistical knowledge, given as a probability distribution. We provide a necessary and sufficient graphical condition for the cases when the causal effect of an arbitrary set of variables on another arbitrary set can be determined uniquely from the available information, as well as an algorithm which computes the effect whenever this condition holds. Furthermore, we use our results to prove completeness of do-calculus [Pearl, 1995], and a version of an identification algorithm in [Tian, 2002] for the same identification problem. Finally, we derive a complete characterization of semi-Markovian models in which all causal effects are identifiable.",368,19,,https://www.semanticscholar.org/paper/8406f5a04ec47a74f23c4ea1e93fe8af158475b4,1.4800
Bar13b,A General Algorithm for Deciding Transportability of Experimental Results,E. Bareinboim and J. Pearl,2013,2013-05-29,arXiv.org,1,107 - 134,"Abstract Generalizing empirical findings to new environments, settings, or populations is essential in most scientific explorations. This article treats a particular problem of generalizability, called “transportability”, defined as a license to transfer information learned in experimental studies to a different population, on which only observational studies can be conducted. Given a set of assumptions concerning commonalities and differences between the two populations, Pearl and Bareinboim [1] derived sufficient conditions that permit such transfer to take place. This article summarizes their findings and supplements them with an effective procedure for deciding when and how transportability is feasible. It establishes a necessary and sufficient condition for deciding when causal effects in the target population are estimable from both the statistical information available and the causal information transferred from the experiments. The article further provides a complete algorithm for computing the transport formula, that is, a way of combining observational and experimental information to synthesize bias-free estimate of the desired causal relation. Finally, the article examines the differences between transportability and other variants of generalizability.",220,17,10.1515/jci-2012-0004,https://doi.org/10.1515/jci-2012-0004,1.4300
