Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Tat04b,Control under communication constraints,S. Tatikonda and S. Mitter,2004,2004-07-12,IEEE Transactions on Automatic Control,49,1056-1068,,1745,80,10.1109/TAC.2004.831187,https://doi.org/10.1109/TAC.2004.831187,3.4000
Nay12,Decentralized Stochastic Control with Partial History Sharing: A Common Information Approach,"A. Nayyar, Aditya Mahajan, and D. Teneketzis",2012,2012-09-07,IEEE Transactions on Automatic Control,58,1644-1658,"A general model of decentralized stochastic control called partial history sharing information structure is presented. In this model, at each step the controllers share part of their observation and control history with each other. This general model subsumes several existing models of information sharing as special cases. Based on the information commonly known to all the controllers, the decentralized problem is reformulated as an equivalent centralized problem from the perspective of a coordinator. The coordinator knows the common information and selects prescriptions that map each controller's local information to its control actions. The optimal control problem at the coordinator is shown to be a partially observable Markov decision process (POMDP) which is solved using techniques from Markov decision theory. This approach provides 1) structural results for optimal strategies and 2) a dynamic program for obtaining optimal strategies for all controllers in the original decentralized problem. Thus, this approach unifies the various ad-hoc approaches taken in the literature. In addition, the structural results on optimal control strategies obtained by the proposed approach cannot be obtained by the existing generic approach (the person-by-person approach) for obtaining structural results in decentralized problems; and the dynamic program obtained by the proposed approach is simpler than that obtained by the existing generic approach (the designer's approach) for obtaining dynamic programs in decentralized problems.",305,22,10.1109/TAC.2013.2239000,https://doi.org/10.1109/TAC.2013.2239000,3.2000
Tan15b,LQG Control With Minimum Directed Information: Semidefinite Programming Approach,"Takashi Tanaka, Peyman Mohajerin Esfahani, and S. Mitter",2015,2015-10-14,IEEE Transactions on Automatic Control,63,37-52,"We consider a discrete-time linear–quadratic–Gaussian (LQG) control problem, in which Massey's directed information from the observed output of the plant to the control input is minimized, while required control performance is attainable. This problem arises in several different contexts, including joint encoder and controller design for data-rate minimization in networked control systems. We show that the optimal control law is a linear–Gaussian randomized policy. We also identify the state-space realization of the optimal policy, which can be synthesized by an efficient algorithm based on semidefinite programming. Our structural result indicates that the filter–controller separation principle from the LQG control theory and the sensor–filter separation principle from the zero-delay rate-distortion theory for Gauss–Markov sources hold simultaneously in the considered problem. A connection to the data-rate theorem for mean-square stability by Nair and Evans is also established.",113,11,10.1109/TAC.2017.2709618,https://doi.org/10.1109/TAC.2017.2709618,3.1000
Wan19e,Learning Efficient Multi-agent Communication: An Information Bottleneck Approach,R. Wang et al.,2019,2019-11-16,International Conference on Machine Learning,,9908-9918,"We consider the problem of the limited-bandwidth communication for multi-agent reinforcement learning, where agents cooperate with the assistance of a communication protocol and a scheduler. The protocol and scheduler jointly determine which agent is communicating what message and to whom. Under the limited bandwidth constraint, a communication protocol is required to generate informative messages. Meanwhile, an unnecessary communication connection should not be established because it occupies limited resources in vain. In this paper, we develop an Informative Multi-Agent Communication (IMAC) method to learn efficient communication protocols as well as scheduling. First, from the perspective of communication theory, we prove that the limited bandwidth constraint requires low-entropy messages throughout the transmission. Then inspired by the information bottleneck principle, we learn a valuable and compact communication protocol and a weight-based scheduler. To demonstrate the efficiency of our method, we conduct extensive experiments in various cooperative and competitive multi-agent tasks with different numbers of agents and different bandwidths. We show that IMAC converges faster and leads to efficient communication among agents under the limited bandwidth as compared to many baseline methods.",133,20,,https://www.semanticscholar.org/paper/ac7fbe27a47236689bf2076e7ffc9561a06941e1,3.0000
Fox16c,Minimum-information LQG control part I: Memoryless controllers,Roy Fox and Naftali Tishby,2016,2016-06-06,2016 IEEE 55th Conference on Decision and Control (CDC),,5610-5616,"With the increased demand for power efficiency in feedback-control systems, communication is becoming a limiting factor, raising the need to trade off the external cost that they incur with the capacity of the controller's communication channels. With a proper design of the channels, this translates into a sequential rate-distortion problem, where we minimize the rate of information required for the controller's operation under a constraint on its external cost. Memoryless controllers are of particular interest both for the simplicity and frugality of their implementation and as a basis for studying more complex controllers. In this paper we present the optimality principle for memoryless linear controllers that utilize minimal information rates to achieve a guaranteed external-cost level. We also study the interesting and useful phenomenology of the optimal controller, such as the principled reduction of its order.",18,1.8,10.1109/CDC.2016.7799131,https://doi.org/10.1109/CDC.2016.7799131,2.8000
Kim21d,Communication in Multi-Agent Reinforcement Learning: Intention Sharing,"Woojun Kim, Jongeui Park, and Y. Sung",2021,,International Conference on Learning Representations,,,,116,22,,https://www.semanticscholar.org/paper/9ed9ff62749f450247d1f6be9d1c14142fa63f05,2.6000
Dwo26,Robust Trust,Piotr Dworczak and A. Smolin,2026,2026-02-10,,,,"An agent chooses an action based on her private information and a recommendation from an informed but potentially misaligned adviser. With a known probability, the adviser truthfully reports his signal; with the remaining probability, he can send any message. We characterize optimal robust decision rules that maximize the agent's worst-case expected payoff. Every optimal rule is equivalent to a trust-region policy in belief space: the adviser's reported beliefs are taken at face value if they fall within the trust region but are otherwise clipped to the trust region's boundary. We derive alignment thresholds above which advice is strictly valuable and fully characterize the solution in both binary-state and binary-action environments.",0,,,https://www.semanticscholar.org/paper/8d3536ffc54dc01feeb4211ef93252e48f1e93a2,2.6000
Fox16,Minimum-information LQG control Part II: Retentive controllers,Roy Fox and Naftali Tishby,2016,2016-06-06,2016 IEEE 55th Conference on Decision and Control (CDC),,5603-5609,"Retentive (memory-utilizing) sensing-acting agents may operate under limitations on the communication between their sensing, memory and acting components, requiring them to trade off the external cost that they incur with the capacity of their communication channels. In this paper we formulate this problem as a sequential rate-distortion problem of minimizing the rate of information required for the controller's operation under a constraint on its external cost. We reduce this bounded retentive control problem to the memoryless one, studied in Part I of this work [1], by viewing the memory reader as one more sensor and the memory writer as one more actuator. We further investigate the structure of the resulting optimal solution and demonstrate its interesting phenomenology.",13,1.3,10.1109/CDC.2016.7799130,https://doi.org/10.1109/CDC.2016.7799130,2.4000
Tav22,A Unified Approach to Dynamic Decision Problems With Asymmetric Information: Nonstrategic Agents,"Hamidreza Tavafoghi, Ouyang Yi, and D. Teneketzis",2022,2022-03-01,IEEE Transactions on Automatic Control,67,1105-1119,"We study a general class of dynamic multi- agent decision problems with asymmetric information and nonstrategic agents, which include dynamic teams as a special case. When agents are nonstrategic, an agent’s strategy is known to the other agents. Nevertheless, the agents’ strategy choices and beliefs are interdependent over times, a phenomenon known as signaling. We introduce the notion of sufficient information that effectively compresses the agents’ information in a mutually consistent manner. Based on the notion of sufficient information, we propose an information state for each agent that is sufficient for decision-making purposes. We present instances of dynamic multiagent decision problems where we can determine an information state with a time-invariant domain for each agent. Furthermore, we present a generalization of the policy-independence property of belief in partially observed Markov decision processes (POMDP) to dynamic multiagent decision problems. Within the context of dynamic teams with asymmetric information, the proposed set of information states leads to a sequential decomposition that decouples the interdependence between the agents’ strategies and beliefs over time and enables us to formulate a dynamic program to determine a globally optimal policy via backward induction.",15,3.6,10.1109/TAC.2021.3060835,https://doi.org/10.1109/TAC.2021.3060835,2.3000
Sha12b,Epistemic trust: modeling children's reasoning about others' knowledge and intent.,"Patrick Shafto, Baxter S. Eaves, Danielle Navarro, and A. Perfors",2012,2012-05-01,Developmental science,15 3,"'
          436-47
        ","A core assumption of many theories of development is that children can learn indirectly from other people. However, indirect experience (or testimony) is not constrained to provide veridical information. As a result, if children are to capitalize on this source of knowledge, they must be able to infer who is trustworthy and who is not. How might a learner make such inferences while at the same time learning about the world? What biases, if any, might children bring to this problem? We address these questions with a computational model of epistemic trust in which learners reason about the helpfulness and knowledgeability of an informant. We show that the model captures the competencies shown by young children in four areas: (1) using informants' accuracy to infer how much to trust them; (2) using informants' recent accuracy to overcome effects of familiarity; (3) inferring trust based on consensus among informants; and (4) using information about mal-intent to decide not to trust. The model also explains developmental changes in performance between 3 and 4 years of age as a result of changing default assumptions about the helpfulness of other people.",132,9.4,10.1111/j.1467-7687.2012.01135.x,https://doi.org/10.1111/j.1467-7687.2012.01135.x,2.2000
