Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Nag16,Episodic memory as a prerequisite for online updates of model structure,D. G. Nagy and G. Orbán,2016,,Cognitive Science,,,"Human learning in complex environments critically depends on the ability to perform model selection, that is to assess competing hypotheses about the structure of the environment. Importantly, information is accumulated continuously, which necessitates an online process for model selection. While model selection in human learning has been explored extensively, it is unclear how memory systems support learning in an online setting. We formulate a semantic learner and demonstrate that online learning on open model spaces results in a delicate choice between either tracking a possibly infinite number of competing models or retaining experiences in an intact form. Since none of these choices is feasible for a bounded-resource memory system, we propose an episodic learner that retains an optimised subset of experiences in addition to semantic memory. On a simple model system we demonstrate that this normative theory of episodic memory can effectively circumvent the challenge of online model selection.",10,1.0,,https://www.semanticscholar.org/paper/b0c205c6655e8ab97bbc4ba0dc55ac40218ba830,3.4000
Pen22b,"Continual learning: a feature extraction formalization, an efficient algorithm, and fundamental obstructions",Binghui Peng and Andrej Risteski,2022,2022-03-27,ArXiv,abs/2203.14383,,"Continual learning is an emerging paradigm in machine learning, wherein a model is exposed in an online fashion to data from multiple different distributions (i.e. environments), and is expected to adapt to the distribution change. Precisely, the goal is to perform well in the new environment, while simultaneously retaining the performance on the previous environments (i.e. avoid""catastrophic forgetting"") -- without increasing the size of the model. While this setup has enjoyed a lot of attention in the applied community, there hasn't be theoretical work that even formalizes the desired guarantees. In this paper, we propose a framework for continual learning through the framework of feature extraction -- namely, one in which features, as well as a classifier, are being trained with each environment. When the features are linear, we design an efficient gradient-based algorithm $\mathsf{DPGD}$, that is guaranteed to perform well on the current environment, as well as avoid catastrophic forgetting. In the general case, when the features are non-linear, we show such an algorithm cannot exist, whether efficient or not.",14,3.4,10.48550/arXiv.2203.14383,https://doi.org/10.48550/arXiv.2203.14383,3.2000
Pen00,"Continual learning: a feature extraction formalization, an efﬁcient algorithm, and barriers",Binghui Peng and Andrej Risteski,,,,,,"Continual learning is an emerging paradigm in machine learning, wherein a model is exposed in an online fashion to data from multiple different distributions (i.e. environments), and is expected to adapt to the distribution change. Precisely, the goal is to perform well in the new environment, while simultaneously retaining the performance on the previous environments (i.e. avoid “catastrophic forgetting”). While this setup has enjoyed a lot of attention in the applied community, there hasn’t be theoretical work that even formalizes the desired guarantees. In this paper, we propose a framework for continual learning through the framework of feature extraction—namely, one in which features, as well as a classiﬁer, are being trained with each environment. When the features are linear, we design an efﬁcient gradient-based algorithm DPGrad , that is guaranteed to perform well on the current environment, as well as avoid catastrophic forgetting. In the general case, when the features are non-linear, we show such an algorithm cannot exist, whether efﬁcient or not.",0,,,https://www.semanticscholar.org/paper/961aa0a0cd41b92aeaf82006d91b18bc1ae84114,3.0000
Che22e,Memory Bounds for Continual Learning,"Xi Chen, Christos Papadimitriou, and Binghui Peng",2022,2022-04-22,2022 IEEE 63rd Annual Symposium on Foundations of Computer Science (FOCS),,519-530,"Continual learning, or lifelong learning, is a formidable current challenge to machine learning. It requires the learner to solve a sequence of k different learning tasks, one after the other, while retaining its aptitude for earlier tasks; the continual learner should scale better than the obvious solution of developing and maintaining a separate learner for each of the k tasks. We embark on a complexity-theoretic study of continual learning in the PAC framework. We make novel uses of communication complexity to establish that any continual learner, even an improper one, needs memory that grows linearly with k, strongly suggesting that the problem is intractable. When logarithmically many passes over the learning tasks are allowed, we provide an algorithm based on multiplicative weights update whose memory requirement scales well; we also establish that improper learning is necessary for such performance. We conjecture that these results may lead to new promising approaches to continual learning.",26,6.4,10.1109/FOCS54457.2022.00056,https://doi.org/10.1109/FOCS54457.2022.00056,2.9000
Sha99,"Computational Mechanics: Pattern and Prediction, Structure and Simplicity",C. Shalizi and J. Crutchfield,1999,1999-07-01,Journal of Statistical Physics,104,817-879,"Computational mechanics, an approach to structural complexity, defines a process's causal states and gives a procedure for finding them. We show that the causal-state representation—an ∈-machine—is the minimal one consistent with accurate prediction. We establish several results on ∈-machine optimality and uniqueness and on how ∈-machines compare to alternative representations. Further results relate measures of randomness and structural complexity obtained from ∈-machines to those from ergodic and information theories.",523,19,10.1023/A:1010388907793,https://doi.org/10.1023/A:1010388907793,2.8000
Sha04,Blind Construction of Optimal Nonlinear Recursive Predictors for Discrete Sequences,C. Shalizi and Kristina Lisa Shalizi,2004,2004-06-06,Conference on Uncertainty in Artificial Intelligence,,504-511,"We present a new method for nonlinear prediction of discrete random sequences under minimal structural assumptions. We give a mathematical construction for optimal predictors of such processes, in the form of hidden Markov models. We then describe an algorithm, CSSR (Causal-State Splitting Reconstruction), which approximates the ideal predictor from data. We discuss the reliability of CSSR, its data requirements, and its performance in simulations. Finally, we compare our approach to existing methods using variable-length Markov models and cross-validated hidden Markov models, and show theoretically and experimentally that our method delivers results superior to the former and at least comparable to the latter.",199,9.1,,https://www.semanticscholar.org/paper/da820634f29f02e10c117fa84857753ded8f0204,2.5000
Ris83b,A UNIVERSAL PRIOR FOR INTEGERS AND ESTIMATION BY MINIMUM DESCRIPTION LENGTH,J. Rissanen,1983,1983-06-01,Annals of Statistics,11,416-431,"of the number of bits required to write down the observed data, has been reformulated to extend the classical maximum likelihood principle. The principle permits estimation of the number of the parameters in statistical models in addition to their values and even of the way the parameters appear in the models; i.e., of the model structures. The principle rests on a new way to interpret and construct a universal prior distribution for the integers, which makes sense even when the parameter is an individual object. Truncated realvalued parameters are converted to integers by dividing them by their precision, and their prior is determined from the universal prior for the integers by optimizing the precision. 1. Introduction. In this paper we study estimation based upon the principle of minimizing the total number of binary digits required to rewrite the observed data, when each observation is given with some precision. Instead of attempting at an absolutely shortest description, which would be futile, we look for the optimum relative to a class of parametrically given distributions. This Minimum Description Length (MDL) principle, which we introduced in a less comprehensive form in [25], turns out to degenerate to the more familiar Maximum Likelihood (ML) principle in case the number of parameters in the models is fixed, so that the description length of the parameters themselves can be ignored. In another extreme case, where the parameters determine the data, it similarly degenerates to Jaynes's principle of maximum entropy, [14]. But the main power of the new criterion is that it permits estimates of the entire model, its parameters, their number, and even the way the parameters appear in the model; i.e., the model structure. Hence, there will be no need to supplement the estimated parameters with a separate hypothesis test to decide whether a model is adequately parameterized or, perhaps, over parameterized.",1911,44,10.1214/AOS/1176346150,https://doi.org/10.1214/AOS/1176346150,2.4000
Ris84,"Universal coding, information, prediction, and estimation",J. Rissanen,1984,1984-07-01,IEEE Trans. Inf. Theory,30,629-636,"A connection between universal codes and the problems of prediction and statistical estimation is established. A known lower bound for the mean length of universal codes is sharpened and generalized, and optimum universal codes constructed. The bound is defined to give the information in strings relative to the considered class of processes. The earlier derived minimum description length criterion for estimation of parameters, including their number, is given a fundamental information, theoretic justification by showing that its estimators achieve the information in the strings. It is also shown that one cannot do prediction in Gaussian autoregressive moving average (ARMA) processes below a bound, which is determined by the information in the data.",1029,25,10.1109/TIT.1984.1056936,https://doi.org/10.1109/TIT.1984.1056936,2.2000
Ben16,Computational principles of synaptic memory consolidation,M. Benna and Stefano Fusi,2016,2016-10-03,Nature Neuroscience,19,1697-1706,,236,25,10.1038/nn.4401,https://doi.org/10.1038/nn.4401,2.1000
Ris89,Stochastic Complexity in Statistical Inquiry,J. Rissanen,1989,1989-11-01,World Scientific Series in Computer Science,15,1-188,,1827,50,10.1142/0822,https://doi.org/10.1142/0822,2.0500
