Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Las00,Global Optimization with Polynomials and the Problem of Moments,J. Lasserre,2000,2000-03-01,SIAM J. Optim.,11,796-817,"We consider the problem of finding the unconstrained global minimum of a real-valued polynomial p(x): {\mathbb{R}}^n\to {\mathbb{R}}$, as well as the global minimum of p(x), in a compact set K defined by polynomial inequalities. It is shown that this problem reduces to solving an (often finite) sequence of convex linear matrix inequality (LMI) problems. A notion of Karush--Kuhn--Tucker polynomials is introduced in a global optimality condition. Some illustrative examples are provided.",2832,108,10.1137/S1052623400366802,https://doi.org/10.1137/S1052623400366802,2.6000
Par00d,Structured semidefinite programs and semialgebraic geometry methods in robustness and optimization,P. Parrilo,2000,,,,,"In the first part of this thesis, we introduce a specific class of Linear Matrix Inequalities (LMI) whose optimal solution can be characterized exactly. This family corresponds to the case where the associated linear operator maps the cone of positive semidefinite matrices onto itself. In this case, the optimal value equals the spectral radius of the operator. It is shown that some rank minimization problems, as well as generalizations of the structured singular value ($mu$) LMIs, have exactly this property.

In the same spirit of exploiting structure to achieve computational efficiency, an algorithm for the numerical solution of a special class of frequency-dependent LMIs is presented. These optimization problems arise from robustness analysis questions, via the Kalman-Yakubovich-Popov lemma. The procedure is an outer approximation method based on the algorithms used in the computation of hinf norms for linear, time invariant systems. The result is especially useful for systems with large state dimension.

The other main contribution in this thesis is the formulation of a convex optimization framework for semialgebraic problems, i.e., those that can be expressed by polynomial equalities and inequalities. The key element is the interaction of concepts in real algebraic geometry (Positivstellensatz) and semidefinite programming.

To this end, an LMI formulation for the sums of squares decomposition for multivariable polynomials is presented. Based on this, it is shown how to construct sufficient Positivstellensatz-based convex tests to prove that certain sets are empty. Among other applications, this leads to a nonlinear extension of many LMI based results in uncertain linear system analysis.

Within the same framework, we develop stronger criteria for matrix copositivity, and generalizations of the well-known standard semidefinite relaxations for quadratic programming.

Some applications to new and previously studied problems are presented. A few examples are Lyapunov function computation, robust bifurcation analysis, structured singular values, etc. It is shown that the proposed methods allow for improved solutions for very diverse questions in continuous and combinatorial optimization.",2345,89,10.7907/2K6Y-CH43.,https://doi.org/10.7907/2K6Y-CH43.,2.1500
Bro10b,Information Relaxations and Duality in Stochastic Dynamic Programs,"David B. Brown, James E. Smith, and Peng Sun",2010,2010-07-01,Oper. Res.,58,785-801,"We describe a general technique for determining upper bounds on maximal values (or lower bounds on minimal costs) in stochastic dynamic programs. In this approach, we relax the nonanticipativity constraints that require decisions to depend only on the information available at the time a decision is made and impose a “penalty” that punishes violations of nonanticipativity. In applications, the hope is that this relaxed version of the problem will be simpler to solve than the original dynamic program. The upper bounds provided by this dual approach complement lower bounds on values that may be found by simulating with heuristic policies. We describe the theory underlying this dual approach and establish weak duality, strong duality, and complementary slackness results that are analogous to the duality results of linear programming. We also study properties of good penalties. Finally, we demonstrate the use of this dual approach in an adaptive inventory control problem with an unknown and changing demand distribution and in valuing options with stochastic volatilities and interest rates. These are complex problems of significant practical interest that are quite difficult to solve to optimality. In these examples, our dual approach requires relatively little additional computation and leads to tight bounds on the optimal values.",243,15,10.1287/opre.1090.0796,https://doi.org/10.1287/opre.1090.0796,1.8500
Kor16c,Moment-sum-of-squares hierarchies for set approximation and optimal control,Milan Korda,2016,,,,,"This thesis uses the idea of lifting (or embedding) a nonlinear controlled dynamical system into an infinite-dimensional space of measures where this system is equivalently described by a linear equation. This equation and problems involving it are subsequently approximated using well-known moment-sum-of-squares hierarchies. First, we address the problems of region of attraction, reachable set and maximum controlled invariant set computation, where we provide a characterization of these sets as an infinite-dimensional linear program in the cone of nonnegative measures and we describe a hierarchy of finite-dimensional semidefinite-programming (SDP) hierarchies providing a converging sequence of outer approximations to these sets. Next, we treat the problem of optimal feedback controller design under state and input constraints. We provide a hierarchy of SDPs yielding an asymptotically optimal sequence of rational feedback controllers. In addition, we describe hierarchies of SDPs yielding approximations to the value function attained by any given rational controller, from below and from above, as well as a hierarchy of SDPs providing approximations from below to the optimal value function, hence obtaining performance certificates for the designed controllers as well as for any given rational controller. Finally, we describe a method to verify properties of a closed loop interconnection of a nonlinear dynamical system and an optimization-based controller (e.g., a model predictive controller) for deterministic and stochastic nonlinear dynamical systems. Properties such as global stability, the $\ell_2$ gain or performance with respect to a given infinite-horizon cost function can be certified. The methods presented are easy to implement using freely available software packages and are documented by a number of numerical examples.",10,1.0,10.5075/EPFL-THESIS-7012,https://doi.org/10.5075/EPFL-THESIS-7012,1.7900
Nie12,Optimality conditions and finite convergence of Lasserre’s hierarchy,Jiawang Nie,2012,2012-06-01,Mathematical Programming,146,97 - 121,"Lasserre’s hierarchy is a sequence of semidefinite relaxations for solving polynomial optimization problems globally. This paper studies the relationship between optimality conditions in nonlinear programming theory and finite convergence of Lasserre’s hierarchy. Our main results are: (i) Lasserre’s hierarchy has finite convergence when the constraint qualification, strict complementarity and second order sufficiency conditions hold at every global minimizer, under the standard archimedean condition; the proof uses a result of Marshall on boundary hessian conditions. (ii) These optimality conditions are all satisfied at every local minimizer if a finite set of polynomials, which are in the coefficients of input polynomials, do not vanish at the input data (i.e., they hold in a Zariski open set). This implies that, under archimedeanness, Lasserre’s hierarchy has finite convergence generically.",290,21,10.1007/s10107-013-0680-x,https://doi.org/10.1007/s10107-013-0680-x,1.7500
Las07,Nonlinear Optimal Control via Occupation Measures and LMI-Relaxations,"J. Lasserre, D. Henrion, C. Prieur, and E. Trélat",2007,2007-03-13,SIAM J. Control. Optim.,47,1643-1666,"We consider the class of nonlinear optimal control problems (OCPs) with polynomial data, i.e., the differential equation, state and control constraints, and cost are all described by polynomials, and more generally for OCPs with smooth data. In addition, state constraints as well as state and/or action constraints are allowed. We provide a simple hierarchy of LMI- (linear matrix inequality)-relaxations whose optimal values form a nondecreasing sequence of lower bounds on the optimal value. Under some convexity assumptions, the sequence converges to the optimal value of the OCP. Preliminary results show that good approximations are obtained with few moments.",317,17,10.1137/070685051,https://doi.org/10.1137/070685051,1.6700
Nie11b,Certifying convergence of Lasserre’s hierarchy via flat truncation,Jiawang Nie,2011,2011-06-13,Mathematical Programming,142,485-510,"Consider the optimization problem of minimizing a polynomial function subject to polynomial constraints. A typical approach for solving it globally is applying Lasserre’s hierarchy of semidefinite relaxations, based on either Putinar’s or Schmüdgen’s Positivstellensatz. A practical question in applications is: how to certify its convergence and get minimizers? In this paper, we propose flat truncation as a certificate for this purpose. Assume the set of global minimizers is nonempty and finite. Our main results are: (1) Putinar type Lasserre’s hierarchy has finite convergence if and only if flat truncation holds, under some generic assumptions; the same conclusion holds for the Schmüdgen type one under weaker assumptions. (2) Flat truncation is asymptotically satisfied for Putinar type Lasserre’s hierarchy if the archimedean condition holds; the same conclusion holds for the Schmüdgen type one if the feasible set is compact. (3) We show that flat truncation can be used as a certificate to check exactness of standard SOS relaxations and Jacobian SDP relaxations.",124,8.3,10.1007/s10107-012-0589-9,https://doi.org/10.1007/s10107-012-0589-9,1.5800
Sch05,Optimization of Polynomials on Compact Semialgebraic Sets,M. Schweighofer,2005,2005-03-01,SIAM J. Optim.,15,805-825,"A basic closed semialgebraic subset S of $\R^n$ is defined by simultaneous polynomial inequalities $g_1\ge 0,\dotsc,g_m\ge 0$. We give a short introduction to Lasserre's method for minimizing a polynomial f on a compact set S of this kind. It consists of successively solving tighter and tighter convex relaxations of this problem which can be formulated as semidefinite programs. We give a new short proof for the convergence of the optimal values of these relaxations to the infimum $f^\ast$ of f on S which is constructive and elementary. In the case where f possesses a unique minimizer $x^\ast$, we prove that every sequence of ""nearly"" optimal solutions of the successive relaxations gives rise to a sequence of points in $\R^n$ converging to $x^\ast$.",177,8.3,10.1137/S1052623403431779,https://doi.org/10.1137/S1052623403431779,1.5500
Ver03,A Posteriori Error Bounds for Reduced-Basis Approximation of Parametrized Noncoercive and Nonlinear Elliptic Partial Differential Equations,"K. Veroy, C. Prud'homme, D. Rovas, and A. Patera",2003,2003-12-01,,,,"We present a technique for the rapid and reliable prediction of linear-functional outputs of elliptic partial differential equations with affine parameter dependence. The essential components are (i) rapidly convergent global reduced-basis approximations - (Galerkin) projection onto a space WN spanned by solutions of the governing partial differential equation at N selected points in parameter space; (ii) a posteriori error estimation relaxations of the error-residual equation that provide inexpensive yet sharp bounds for the error in the outputs of interest; and (iii) off-line/on-line computational procedures methods which decouple the generation and projection stages of the approximation process. The operation count for the on-line stage - in which, given a new parameter value, we calculate the output of interest and associated error bound - depends only on N (typically very small) and the parametric complexity of the problem. In this paper we develop new a posteriori error estimation procedures for noncoercive linear, and certain nonlinear, problems that yield rigorous and sharp error statements for all N. We consider three particular examples: the Helmholtz (reduced-wave) equation; a cubically nonlinear Poisson equation; and Burgers equation - a model for incompressible Navier-Stokes. The Helmholtz (and Burgers) example introduce our new lower bound constructions for the requisite inf-sup (singular value) stability factor; the cubic nonlin-earity exercises symmetry factorization procedures necessary for treatment of high-order Galerkin summations in the (say) residual dual-norm calculation; and the Burgers equation illustrates our accommodation of potentially multiple solution branches in our a posteriori error statement. Numerical results are presented that demonstrate the rigor, sharpness, and efficiency of our proposed error bounds, and the application of these bounds to adaptive (optimal) approximation. © 2003 by the American Institute of Aeronautics and Astronautics, Inc.",319,14,10.2514/6.2003-3847,https://doi.org/10.2514/6.2003-3847,1.4800
Ain00,A Posteriori Error Estimation in Finite Element Analysis,M. Ainsworth and J. Oden,2000,2000-08-21,,,,"This monograph presents a summary account of the subject of a posteriori error estimation for finite element approximations of problems in mechanics. The study primarily focuses on methods for linear elliptic boundary value problems. However, error estimation for unsymmetrical systems, nonlinear problems, including the Navier-Stokes equations, and indefinite problems, such as represented by the Stokes problem are included. The main thrust is to obtain error estimators for the error measured in the energy norm, but techniques for other norms are also discussed.",2906,113,10.1002/9781118032824,https://doi.org/10.1002/9781118032824,1.4600
